STATE,VALUEADD,CAPITAL,LABOR,NFIRM 
Alabama         ,126.1480000,3.8040000,31.5510000,68 
California      ,3201.4860000,185.4460000,452.8440000,1372 
Connecticut     ,690.6700000,39.7120000,124.0740000,154 
Florida         ,56.2960000,6.5470000,19.1810000,292 
Georgia         ,304.5310000,11.5300000,45.5340000,71 
Illinois        ,723.0280000,58.9870000,88.3910000,275 
Indiana         ,992.1690000,112.8840000,148.5300000,260 
Iowa            ,35.7960000,2.6980000,8.0170000,75 
Kansas          ,494.5150000,10.3600000,86.1890000,76 
Kentucky        ,124.9480000,5.2130000,12,31 
Louisiana       ,73.3280000,3.7630000,15.9000000,115 
Maine           ,29.4670000,1.9670000,6.4700000,81 
Maryland        ,415.2620000,17.5460000,69.3420000,129 
Massachusetts   ,241.5300000,15.3470000,39.4160000,172 
Michigan        ,4079.5540000,435.1050000,490.3840000,568 
Missouri        ,652.0850000,32.8400000,84.8310000,125 
NewJersey       ,667.1130000,33.2920000,83.0330000,247 
NewYork         ,940.4300000,72.9740000,190.0940000,461 
Ohio            ,1611.8990000,157.9780000,259.9160000,363 
Pennsylvania    ,617.5790000,34.3240000,98.1520000,233 
Texas           ,527.4130000,22.7360000,109.7280000,308 
Virginia        ,174.3940000,7.1730000,31.3010000,85 
Washington      ,636.9480000,30.8070000,87.9630000,179 
WestVirginia    ,22.7000000,1.5430000,4.0630000,15 
Wisconsin       ,349.7110000,22.0010000,52.8180000,142 
