     ID X1 X2 Z1  Z2    Z3   Z4 Z5 Z6   X3  Z7 Z8  Y  X4  X5 
      4  0 1.  1 37.0 10.000  0  3 18. 40.0  7  4  0.  0.  1.                   
      5  0 1.  0 27.0  4.000  0  4 14. 20.0  6  4  0.  0.  1.                   
     11  0 1.  0 32.0 15.000  1  1 12. 12.5  1  4  0.  0.  1.                   
     16  0 1.  1 57.0 15.000  1  5 18. 12.5  6  5  0.  0.  1.                   
     23  0 1.  1 22.0  0.750  0  2 17.  7.5  6  3  0.  0.  1.                   
     29  0 1.  0 32.0  1.500  0  2 17.  7.5  5  5  0.  0.  1.                   
     44  0 1.  0 22.0  0.750  0  2 12. 12.5  1  3  0.  0.  1.                   
     45  0 1.  1 57.0 15.000  1  2 14. 20.0  4  4  0.  0.  1.                   
     47  0 1.  0 32.0 15.000  1  4 16. 20.0  1  2  0.  0.  1.                   
     49  0 1.  1 22.0  1.500  0  4 14. 12.5  4  5  0.  0.  1.                   
     50  0 1.  1 37.0 15.000  1  2 20. 20.0  7  2  0.  0.  1.                   
     55  0 1.  1 27.0  4.000  1  4 18. 12.5  6  4  0.  0.  1.                   
     64  0 1.  1 47.0 15.000  1  5 17. 12.5  6  4  0.  0.  1.                   
     80  0 1.  0 22.0  1.500  0  2 17. 12.5  5  4  0.  0.  1.                   
     86  0 1.  0 27.0  4.000  0  4 14.  7.5  5  4  0.  0.  1.                   
     93  0 1.  0 37.0 15.000  1  1 17. 20.0  5  5  0.  0.  1.                   
    108  0 1.  0 37.0 15.000  1  2 18. 20.0  4  3  0.  0.  1.                   
    114  0 1.  0 22.0  0.750  0  3 16.  7.5  5  4  0.  0.  1.                   
    115  0 1.  0 22.0  1.500  0  2 16.  7.5  5  5  0.  0.  1.                   
    116  0 1.  0 27.0 10.000  1  2 14.  7.5  1  5  0.  0.  1.                   
    123  0 1.  0 22.0  1.500  0  2 16. 12.5  5  5  0.  0.  1.                   
    127  0 1.  0 22.0  1.500  0  2 16.  7.5  5  5  0.  0.  1.                   
    129  0 1.  0 27.0 10.000  1  4 16. 20.0  5  4  0.  0.  1.                   
    134  0 1.  0 32.0 10.000  1  3 14.  7.5  1  5  0.  0.  1.                   
    137  0 1.  1 37.0  4.000  1  2 20. 20.0  6  4  0.  0.  1.                   
    139  0 1.  0 22.0  1.500  0  2 18. 12.5  5  5  0.  0.  1.                   
    147  0 1.  0 27.0  7.000  0  4 16. 12.5  1  5  0.  0.  1.                   
    151  0 1.  1 42.0 15.000  1  5 20. 12.5  6  4  0.  0.  1.                   
    153  0 1.  1 27.0  4.000  1  3 16. 12.5  5  5  0.  0.  1.                   
    155  0 1.  0 27.0  4.000  1  3 17. 12.5  5  4  0.  0.  1.                   
    162  0 1.  1 42.0 15.000  1  4 20. 20.0  6  3  0.  0.  1.                   
    163  0 1.  0 22.0  1.500  0  3 16. 12.5  5  5  0.  0.  1.                   
    165  0 1.  1 27.0  0.417  0  4 17.  7.5  6  4  0.  0.  1.                   
    168  0 1.  0 42.0 15.000  1  5 14. 20.0  5  4  0.  0.  1.                   
    170  0 1.  1 32.0  4.000  1  1 18. 20.0  6  4  0.  0.  1.                   
    172  0 1.  0 22.0  1.500  0  4 16.  7.5  5  3  0.  0.  1.                   
    184  0 1.  0 42.0 15.000  1  3 12. 20.0  1  4  0.  0.  1.                   
    187  0 1.  0 22.0  4.000  0  4 17. 20.0  5  5  0.  0.  1.                   
    192  0 1.  1 22.0  1.500  1  1 14.  7.5  3  5  0.  0.  1.                   
    194  0 1.  0 22.0  0.750  0  3 16.  7.5  1  5  0.  0.  1.                   
    210  0 1.  1 32.0 10.000  1  5 20. 12.5  6  5  0.  0.  1.                   
    217  0 1.  1 52.0 15.000  1  5 18.  7.5  6  3  0.  0.  1.                   
    220  0 1.  0 22.0  0.417  0  5 14. 12.5  1  4  0.  0.  1.                   
    224  0 1.  0 27.0  4.000  1  2 18.  4.0  6  1  0.  0.  1.                   
    227  0 1.  0 32.0  7.000  1  5 17. 12.5  5  3  0.  0.  1.                   
    228  0 1.  1 22.0  4.000  0  3 16.  7.5  5  5  0.  0.  1.                   
    239  0 1.  0 27.0  7.000  1  4 18. 40.0  6  5  0.  0.  1.                   
    241  0 1.  0 42.0 15.000  1  2 18. 20.0  5  4  0.  0.  1.                   
    245  0 1.  1 27.0  1.500  1  4 16.  7.5  3  5  0.  0.  1.                   
    249  0 1.  1 42.0 15.000  1  2 20. 20.0  6  4  0.  0.  1.                   
    262  0 1.  0 22.0  0.750  0  5 14. 20.0  3  5  0.  0.  1.                   
    265  0 1.  1 32.0  7.000  1  2 20. 20.0  6  4  0.  0.  1.                   
    267  0 1.  1 27.0  4.000  1  5 20.  7.5  6  5  0.  0.  1.                   
    269  0 1.  1 27.0 10.000  1  4 20.  7.5  6  4  0.  0.  1.                   
    271  0 1.  1 22.0  4.000  0  1 18. 20.0  5  5  0.  0.  1.                   
    277  0 1.  0 37.0 15.000  1  4 14. 12.5  3  1  0.  0.  1.                   
    290  0 1.  1 22.0  1.500  1  5 16. 20.0  4  4  0.  0.  1.                   
    292  0 1.  0 37.0 15.000  1  4 17. 20.0  1  5  0.  0.  1.                   
    293  0 1.  0 27.0  0.750  0  4 17. 12.5  5  4  0.  0.  1.                   
    295  0 1.  1 32.0 10.000  1  4 20. 12.5  6  4  0.  0.  1.                   
    299  0 1.  0 47.0 15.000  1  5 14. 40.0  7  2  0.  0.  1.                   
    320  0 1.  1 37.0 10.000  1  3 20. 40.0  6  4  0.  0.  1.                   
    321  0 1.  0 22.0  0.750  0  2 16.  7.5  5  5  0.  0.  1.                   
    324  0 1.  1 27.0  4.000  0  2 18. 12.5  4  5  0.  0.  1.                   
    334  0 1.  1 32.0  7.000  0  4 20.  7.5  6  4  0.  0.  1.                   
    351  0 1.  1 42.0 15.000  1  2 17. 40.0  3  5  0.  0.  1.                   
    355  0 1.  1 37.0 10.000  1  4 20.  7.5  6  4  0.  0.  1.                   
    361  0 1.  0 47.0 15.000  1  3 17. 20.0  6  5  0.  0.  1.                   
    362  0 1.  0 22.0  1.500  0  5 16.  7.5  5  5  0.  0.  1.                   
    366  0 1.  0 27.0  1.500  0  2 16. 20.0  6  4  0.  0.  1.                   
    370  0 1.  0 27.0  4.000  0  3 17.  7.5  5  5  0.  0.  1.                   
    374  0 1.  0 32.0 10.000  1  5 14. 12.5  4  5  0.  0.  1.                   
    378  0 1.  0 22.0  0.125  0  2 12.  7.5  5  5  0.  0.  1.                   
    381  0 1.  1 47.0 15.000  1  4 14. 20.0  4  3  0.  0.  1.                   
    382  0 1.  1 32.0 15.000  1  1 14. 40.0  5  5  0.  0.  1.                   
    383  0 1.  1 27.0  7.000  1  4 16. 12.5  5  5  0.  0.  1.                   
    384  0 1.  0 22.0  1.500  1  3 16.  7.5  5  5  0.  0.  1.                   
    400  0 1.  1 27.0  4.000  1  3 17.  7.5  6  5  0.  0.  1.                   
    403  0 1.  0 22.0  1.500  0  3 16.  7.5  5  5  0.  0.  1.                   
    409  0 1.  1 57.0 15.000  1  2 14. 20.0  7  2  0.  0.  1.                   
    412  0 1.  1 17.5  1.500  1  3 18. 20.0  6  5  0.  0.  1.                   
    413  0 1.  1 57.0 15.000  1  4 20. 40.0  6  5  0.  0.  1.                   
    416  0 1.  0 22.0  0.750  0  2 16. 20.0  3  4  0.  0.  1.                   
    418  0 1.  1 42.0  4.000  0  4 17. 12.5  3  3  0.  0.  1.                   
    422  0 1.  0 22.0  1.500  1  4 12. 12.5  1  5  0.  0.  1.                   
    435  0 1.  0 22.0  0.417  0  1 17.  4.0  6  4  0.  0.  1.                   
    439  0 1.  0 32.0 15.000  1  4 17. 12.5  5  5  0.  0.  1.                   
    445  0 1.  0 27.0  1.500  0  3 18. 12.5  5  2  0.  0.  1.                   
    447  0 1.  0 22.0  1.500  1  3 14.  7.5  1  5  0.  0.  1.                   
    448  0 1.  0 37.0 15.000  1  3 14. 40.0  1  4  0.  0.  1.                   
    449  0 1.  0 32.0 15.000  1  4 14. 20.0  3  4  0.  0.  1.                   
    478  0 1.  1 37.0 10.000  1  2 14. 12.5  5  3  0.  0.  1.                   
    482  0 1.  1 37.0 10.000  1  4 16. 12.5  5  4  0.  0.  1.                   
    486  0 1.  1 57.0 15.000  1  5 20. 12.5  5  3  0.  0.  1.                   
    489  0 1.  1 27.0  0.417  0  1 16.  7.5  3  4  0.  0.  1.                   
    490  0 1.  0 42.0 15.000  1  5 14. 12.5  1  5  0.  0.  1.                   
    491  0 1.  1 57.0 15.000  1  3 16. 20.0  6  1  0.  0.  1.                   
    492  0 1.  1 37.0 10.000  1  1 16.  7.5  6  4  0.  0.  1.                   
    503  0 1.  1 37.0 15.000  1  3 17. 40.0  5  5  0.  0.  1.                   
    508  0 1.  1 37.0 15.000  1  4 20. 20.0  6  5  0.  0.  1.                   
    509  0 1.  0 27.0 10.000  1  5 14. 12.5  1  5  0.  0.  1.                   
    512  0 1.  1 37.0 10.000  1  2 18. 20.0  6  4  0.  0.  1.                   
    515  0 1.  0 22.0  0.125  0  4 12. 12.5  4  5  0.  0.  1.                   
    517  0 1.  1 57.0 15.000  1  5 20. 40.0  6  5  0.  0.  1.                   
    532  0 1.  0 37.0 15.000  1  4 18. 40.0  6  4  0.  0.  1.                   
    533  0 1.  1 22.0  4.000  1  4 14.  7.5  6  4  0.  0.  1.                   
    535  0 1.  1 27.0  7.000  1  4 18.  7.5  5  4  0.  0.  1.                   
    537  0 1.  1 57.0 15.000  1  4 20. 40.0  5  4  0.  0.  1.                   
    538  0 1.  1 32.0 15.000  1  3 14. 12.5  6  3  0.  0.  1.                   
    543  0 1.  0 22.0  1.500  0  2 14. 12.5  5  4  0.  0.  1.                   
    547  0 1.  0 32.0  7.000  1  4 17. 40.0  1  5  0.  0.  1.                   
    550  0 1.  0 37.0 15.000  1  4 17. 40.0  6  5  0.  0.  1.                   
    558  0 1.  0 32.0  1.500  0  5 18. 40.0  5  5  0.  0.  1.                   
    571  0 1.  1 42.0 10.000  1  5 20. 40.0  7  4  0.  0.  1.                   
    578  0 1.  0 27.0  7.000  0  3 16. 12.5  5  4  0.  0.  1.                   
    583  0 1.  1 37.0 15.000  0  4 20. 40.0  6  5  0.  0.  1.                   
    586  0 1.  1 37.0 15.000  1  4 14. 12.5  3  2  0.  0.  1.                   
    594  0 1.  1 32.0 10.000  0  5 18. 20.0  6  4  0.  0.  1.                   
    597  0 1.  0 22.0  0.750  0  4 16.  7.5  1  5  0.  0.  1.                   
    602  0 1.  0 27.0  7.000  1  4 12.  7.5  2  4  0.  0.  1.                   
    603  0 1.  0 27.0  7.000  1  2 16. 12.5  2  5  0.  0.  1.                   
    604  0 1.  0 42.0 15.000  1  5 18. 40.0  5  4  0.  0.  1.                   
    612  0 1.  1 42.0 15.000  1  4 17. 20.0  5  3  0.  0.  1.                   
    613  0 1.  0 27.0  7.000  1  2 16. 20.0  1  2  0.  0.  1.                   
    621  0 1.  0 22.0  1.500  0  3 16. 12.5  5  5  0.  0.  1.                   
    627  0 1.  1 37.0 15.000  1  5 20. 40.0  6  5  0.  0.  1.                   
    630  0 1.  0 22.0  0.125  0  2 14. 12.5  4  5  0.  0.  1.                   
    631  0 1.  1 27.0  1.500  0  4 16.  7.5  5  5  0.  0.  1.                   
    632  0 1.  1 32.0  1.500  0  2 18. 20.0  6  5  0.  0.  1.                   
    639  0 1.  1 27.0  1.500  0  2 17.  7.5  6  5  0.  0.  1.                   
    645  0 1.  0 27.0 10.000  1  4 16. 12.5  1  3  0.  0.  1.                   
