TYPE,TA,TB,TC,TD,TE,T6064,T6569,T7074,T7579,O6074,O7579,MONTHS,ACC 
1,1,0,0,0,0,1,0,0,0,1,0,127,0 
1,1,0,0,0,0,1,0,0,0,0,1,63,0 
1,1,0,0,0,0,0,1,0,0,1,0,1095,3 
1,1,0,0,0,0,0,1,0,0,0,1,1095,4 
1,1,0,0,0,0,0,0,1,0,1,0,1512,6 
1,1,0,0,0,0,0,0,1,0,0,1,3353,18 
1,1,0,0,0,0,0,0,0,1,1,0, ,  
1,1,0,0,0,0,0,0,0,1,0,1,2244,11 
2,0,1,0,0,0,1,0,0,0,1,0,44882,39 
2,0,1,0,0,0,1,0,0,0,0,1,17176,29 
2,0,1,0,0,0,0,1,0,0,1,0,28609,58 
2,0,1,0,0,0,0,1,0,0,0,1,20370,53 
2,0,1,0,0,0,0,0,1,0,1,0,7064,12 
2,0,1,0,0,0,0,0,1,0,0,1,13099,44 
2,0,1,0,0,0,0,0,0,1,1,0, ,  
2,0,1,0,0,0,0,0,0,1,0,1,7117,18 
3,0,0,1,0,0,1,0,0,0,1,0,1179,1 
3,0,0,1,0,0,1,0,0,0,0,1,552,1 
3,0,0,1,0,0,0,1,0,0,1,0,781,0 
3,0,0,1,0,0,0,1,0,0,0,1,676,1 
3,0,0,1,0,0,0,0,1,0,1,0,783,6 
3,0,0,1,0,0,0,0,1,0,0,1,1948,2 
3,0,0,1,0,0,0,0,0,1,1,0, ,  
3,0,0,1,0,0,0,0,0,1,0,1,274,1 
4,0,0,0,1,0,1,0,0,0,1,0,251,0 
4,0,0,0,1,0,1,0,0,0,0,1,105,0 
4,0,0,0,1,0,0,1,0,0,1,0,288,0 
4,0,0,0,1,0,0,1,0,0,0,1,192,0 
4,0,0,0,1,0,0,0,1,0,1,0,349,2 
4,0,0,0,1,0,0,0,1,0,0,1,1208,11 
4,0,0,0,1,0,0,0,0,1,1,0, ,  
4,0,0,0,1,0,0,0,0,1,0,1,2051,4 
5,0,0,0,0,1,0,0,0,1,0,1,45,0 
5,0,0,0,0,1,1,0,0,0,0,1, ,  
5,0,0,0,0,1,0,1,0,0,1,0,789,7 
5,0,0,0,0,1,0,1,0,0,0,1,437,7 
5,0,0,0,0,1,0,0,1,0,1,0,1157,5 
5,0,0,0,0,1,0,0,1,0,0,1,2161,12 
5,0,0,0,0,1,0,0,0,1,1,0, ,  
5,0,0,0,0,1,0,0,0,1,0,1,542,1 
