YEAR,C,P,WP,I,K1,X,WG,G,T 
1920,39.8000000,12.7000000,28.8000000,2.7000000,180.1000000,44.9000000,2.2000000,2.4000000,3.4000000 
1921,41.9000000,12.4000000,25.5000000,-.2000000,182.8000000,45.6000000,2.7000000,3.9000000,7.7000000 
1922,45,16.9000000,29.3000000,1.9000000,182.6000000,50.1000000,2.9000000,3.2000000,3.9000000 
1923,49.2000000,18.4000000,34.1000000,5.2000000,184.5000000,57.2000000,2.9000000,2.8000000,4.7000000 
1924,50.6000000,19.4000000,33.9000000,3,189.7000000,57.1000000,3.1000000,3.5000000,3.8000000 
1925,52.6000000,20.1000000,35.4000000,5.1000000,192.7000000,61,3.2000000,3.3000000,5.5000000 
1926,55.1000000,19.6000000,37.4000000,5.6000000,197.8000000,64,3.3000000,3.3000000,7 
1927,56.2000000,19.8000000,37.9000000,4.2000000,203.4000000,64.4000000,3.6000000,4,6.7000000 
1928,57.3000000,21.1000000,39.2000000,3,207.6000000,64.5000000,3.7000000,4.2000000,4.2000000 
1929,57.8000000,21.7000000,41.3000000,5.1000000,210.6000000,67,4,4.1000000,4 
1930,55,15.6000000,37.9000000,1,215.7000000,61.2000000,4.2000000,5.2000000,7.7000000 
1931,50.9000000,11.4000000,34.5000000,-3.4000000,216.7000000,53.4000000,4.8000000,5.9000000,7.5000000 
1932,45.6000000,7,29,-6.2000000,213.3000000,44.3000000,5.3000000,4.9000000,8.3000000 
1933,46.5000000,11.2000000,28.5000000,-5.1000000,207.1000000,45.1000000,5.6000000,3.7000000,5.4000000 
1934,48.7000000,12.3000000,30.6000000,-3,202,49.7000000,6,4,6.8000000 
1935,51.3000000,14,33.2000000,-1.3000000,199,54.4000000,6.1000000,4.4000000,7.2000000 
1936,57.7000000,17.6000000,36.8000000,2.1000000,197.7000000,62.7000000,7.4000000,2.9000000,8.3000000 
1937,58.7000000,17.3000000,41,2,199.8000000,65,6.7000000,4.3000000,6.7000000 
1938,57.5000000,15.3000000,38.2000000,-1.9000000,201.8000000,60.9000000,7.7000000,5.3000000,7.4000000 
1939,61.6000000,19,41.6000000,1.3000000,199.9000000,69.5000000,7.8000000,6.6000000,8.9000000 
1940,65,21.1000000,45,3.3000000,201.2000000,75.7000000,8,7.4000000,9.6000000 
1941,69.7000000,23.5000000,53.3000000,4.9000000,204.5000000,88.4000000,8.5000000,13.8000000,11.6000000 
