         Year     GNP     Invest     CPI     Interest  
         1968   873.4     133.3     82.54     5.16 
         1969   944.0     149.3     86.79     5.87 
         1970   992.7     144.2     91.45     5.95 
         1971  1077.6     166.4     96.01     4.88 
         1972  1185.9     195.0    100.00     4.50 
         1973  1326.4     229.8    105.75     6.44 
         1974  1434.2     228.7    115.08     7.83 
         1975  1549.2     206.1    125.79     6.25 
         1976  1718.0     257.9    132.34     5.50 
         1977  1918.3     324.1    140.05     5.46 
         1978  2163.9     386.6    150.42     7.46 
         1979  2417.8     423.0    163.42    10.28 
         1980  2633.1     402.3    178.64    11.77 
         1981  2937.7     471.5    195.51    13.42 
         1982  3057.5     421.9    207.23    11.02
