    date         Y
   1990.01      8.99
   1990.02      9.72
   1990.03      9.37
   1990.04      9.46
   1990.05      9.47
   1990.06      9.26
   1990.07      9.24
   1990.08      9.41
   1990.09      9.56
   1990.10      9.53
   1990.11      9.30
   1990.12      9.05
   1991.01      9.04
   1991.02      8.83
   1991.03      8.93
   1991.04      8.86
   1991.05      8.86
   1991.06      9.01
   1991.07      9.00
   1991.08      8.75
   1991.09      8.61
   1991.10      8.55
   1991.11      8.48
   1991.12      8.31
   1992.01      8.20
   1992.02      8.29
   1992.03      8.35
   1992.04      8.33
   1992.05      8.28
   1992.06      8.22
   1992.07      8.07
   1992.08      7.95
   1992.09      7.92
   1992.10      7.99
   1992.11      8.10
   1992.12      7.98
   1993.01      7.91
   1993.02      7.71
   1993.03      7.58
   1993.04      7.46
   1993.05      7.43
   1993.06      7.33
   1993.07      7.17
   1993.08      6.85
   1993.09      6.66
   1993.10      6.67
   1993.11      6.93
   1993.12      6.93
   1994.01      6.92
   1994.02      7.08
   1994.03      7.48
   1994.04      7.88
   1994.05      7.99
   1994.06      7.97
   1994.07      8.11
   1994.08      8.07
   1994.09      8.34
   1994.10      8.57
   1994.11      8.68
   1994.12      8.46
