PRICE,HEIGHT,WIDTH,SIGNED,PICTURE,HOUSE 
3.9937800,21.3000000,25.6000000,1,1,1 
8.8000000,31.9000000,25.6000000,1,2,2 
.1316940,6.9000000,15.9000000,0,3,3 
2.0375000,25.7000000,32,1,4,2 
1.4875000,25.7000000,32,1,4,2 
1.8700000,25.6000000,31.9000000,1,4,1 
5.2825000,25.5000000,35.6000000,1,5,1 
5.0657500,26,34.3000000,1,5,2 
1.3750000,25.6000000,36.2000000,1,5,2 
2.5300000,25.6000000,36.4000000,1,6,2 
3.7425000,25.6000000,36.4000000,1,6,2 
.3643430,25.6000000,36.2000000,1,7,2 
2.7238700,31.9000000,39.4000000,1,8,2 
3.5200000,23.6000000,31.9000000,1,9,1 
.4975000,19.5000000,25,1,10,2 
9.3500000,32.7000000,26.8000000,1,11,1 
1.2195000,25.5000000,36,1,12,2 
.4070000,25.6000000,39.4000000,1,12,2 
3.7133900,25.6000000,36.2000000,1,13,3 
5.2964060,25.8000000,21.5000000,1,14,2 
2.8620000,21.4000000,28.9000000,1,15,2 
4.1800000,26,32.5000000,1,16,1 
2.4807500,26,32.5000000,1,16,2 
.2370680,50,14.6000000,0,17,2 
.5274460,22.7000000,28.1000000,1,18,1 
33.0135040,35,39.4000000,1,19,2 
.0355490,37.4000000,39.4000000,0,20,3 
.4950000,32.1000000,23.5000000,1,21,1 
1.0780000,32.1000000,23.5000000,1,21,1 
.4315000,25.7000000,36.4000000,0,22,2 
3.4800000,25.7000000,36.5000000,1,23,2 
.4645000,21.5000000,25.9000000,1,24,1 
1.6500000,25.6000000,31.9000000,1,25,1 
4.4880000,28.7000000,36.2000000,1,26,2 
.1565000,23.7000000,23.7000000,0,27,2 
.1913460,23.6000000,23.6000000,0,27,2 
1.2160000,29.3000000,29.3000000,1,28,1 
.7975000,32,32.6000000,1,29,2 
1.2100000,25.7000000,32,1,30,1 
.6995160,21.3000000,25.6000000,1,31,2 
.7625090,25.6000000,31.9000000,1,32,2 
.7604860,23.9000000,31.5000000,1,33,1 
.8825000,23.6000000,28.7000000,1,34,1 
3.7400000,32.3000000,23.6000000,1,35,2 
.2190050,19.7000000,22.4000000,0,36,2 
1.3906200,23.6000000,31.5000000,1,37,2 
