MDR,ACC,AGE,INCOME,AVGEXP,OWNRENT,SELFEMPL 
0,1,38,4.5200000,124.9800000,1,0 
0,1,33,2.4200000,9.8500000,0,0 
0,1,34,4.5000000,15,1,0 
0,1,31,2.5400000,137.8700000,0,0 
0,1,32,9.7900000,546.5000000,1,0 
0,1,23,2.5000000,92,0,0 
0,1,28,3.9600000,40.8300000,0,0 
0,1,29,2.3700000,150.7900000,1,0 
0,1,37,3.8000000,777.8200000,1,0 
0,1,28,3.2000000,52.5800000,0,0 
0,1,31,3.9500000,256.6600000,1,0 
0,0,42,1.9800000,0,1,0 
0,0,30,1.7300000,0,1,0 
0,1,29,2.4500000,78.8700000,1,0 
0,1,35,1.9100000,42.6200000,1,0 
0,1,41,3.2000000,335.4300000,1,0 
0,1,40,4,248.7200000,1,0 
7,0,30,3,0,1,0 
0,1,40,10,548.0300000,1,1 
3,0,46,3.4000000,0,0,0 
0,1,35,2.3500000,43.3400000,1,0 
1,0,25,1.8800000,0,0,0 
0,1,34,2,218.5200000,1,0 
1,1,36,4,170.6400000,0,0 
0,1,43,5.1400000,37.5800000,1,0 
0,1,30,4.5100000,502.2000000,0,0 
0,0,22,3.8400000,0,0,1 
0,1,22,1.5000000,73.1800000,0,0 
0,0,34,2.5000000,0,1,0 
0,1,40,5.5000000,1532.7700000,1,0 
0,1,22,2.0300000,42.6900000,0,0 
1,1,29,3.2000000,417.8300000,0,0 
1,0,25,3.1500000,0,1,0 
0,1,21,2.4700000,552.7200000,1,0 
0,1,24,3,222.5400000,0,0 
0,1,43,3.5400000,541.3000000,1,0 
0,0,43,2.2800000,0,0,0 
0,1,37,5.7000000,568.7700000,1,0 
0,1,27,3.5000000,344.4700000,0,0 
0,1,28,4.6000000,405.3500000,1,0 
0,1,26,3,310.9400000,1,0 
0,1,23,2.5900000,53.6500000,0,0 
0,1,30,1.5100000,63.9200000,0,0 
0,1,30,1.8500000,165.8500000,0,0 
0,1,38,2.6000000,9.5800000,0,0 
0,0,28,1.8000000,0,0,1 
0,1,36,2,319.4900000,0,0 
0,0,38,3.2600000,0,0,0 
0,1,26,2.3500000,83.0800000,0,0 
0,1,28,7,644.8300000,1,0 
0,0,50,3.6000000,0,0,0 
0,1,24,2,93.2000000,0,0 
0,1,21,1.7000000,105.0400000,0,0 
0,1,24,2.8000000,34.1300000,0,0 
0,1,26,2.4000000,41.1900000,0,0 
1,1,33,3,169.8900000,0,0 
0,1,34,4.8000000,1898.0300000,0,0 
0,1,33,3.1800000,810.3900000,0,0 
0,0,45,1.8000000,0,0,0 
0,1,21,1.5000000,32.7800000,0,0 
2,1,25,3,95.8000000,0,0 
0,1,27,2.2800000,27.7800000,0,0 
0,1,26,2.8000000,215.0700000,0,0 
0,1,22,2.7000000,79.5100000,0,0 
3,0,27,4.9000000,0,1,0 
0,0,26,2.5000000,0,0,1 
0,1,41,6,306.0300000,0,1 
0,1,42,3.9000000,104.5400000,0,0 
0,0,22,5.1000000,0,0,0 
0,1,25,3.0700000,642.4700000,0,0 
0,1,31,2.4600000,308.0500000,1,0 
0,1,27,2,186.3500000,0,0 
0,1,33,3.2500000,56.1500000,0,0 
0,1,37,2.7200000,129.3700000,0,0 
0,1,27,2.2000000,93.1100000,0,0 
1,0,24,4.1000000,0,0,0 
0,1,24,3.7500000,292.6600000,0,0 
0,1,25,2.8800000,98.4600000,0,0 
0,1,36,3.0500000,258.5500000,0,0 
0,1,33,2.5500000,101.6800000,0,0 
0,0,33,4,0,0,0 
1,1,55,2.6400000,65.2500000,1,0 
0,1,20,1.6500000,108.6100000,0,0 
0,1,29,2.4000000,49.5600000,0,0 
3,0,40,3.7100000,0,0,0 
0,1,41,7.2400000,235.5700000,1,0 
0,0,41,4.3900000,0,1,0 
0,0,35,3.3000000,0,1,0 
0,0,24,2.3000000,0,0,0 
1,0,54,4.1800000,0,0,0 
2,0,34,2.4900000,0,0,0 
0,0,45,2.8100000,0,1,0 
0,1,43,2.4000000,68.3800000,0,0 
4,0,35,1.5000000,0,0,0 
2,0,36,8.4000000,0,0,0 
0,1,22,1.5600000,0,0,0 
1,1,33,6,474.1500000,1,0 
1,1,25,3.6000000,234.0500000,0,0 
0,1,26,5,451.2000000,1,0 
0,1,46,5.5000000,251.5200000,1,0 
