State,Infant mort 99,CDR,HS drop,low BW,Teen Births,Teen Deaths
Alabama,9.8,49,10,9.3,38,84
Alaska,5.7,21,8,5.8,25,69
Arizona,6.8,21,17,6.9,42,61
Arkansas,8,46,12,8.6,38,73
California,5.4,7,9,6.1,31,41
Colorado,6.7,18,14,8.3,29,58
Connecticut,6.1,3,8,7.6,19,34
Delaware,7.4,21,10,8.6,34,43
Florida,7.4,34,12,8.2,31,54
Georgia,8.2,41,12,8.7,38,63
Hawaii,7,1,6,7.6,26,23
Idaho,6.7,45,11,6.2,25,73
Illinois,8.5,18,10,8,29,57
Indiana,8,39,7,7.9,27,60
Iowa,5.7,14,6,6.2,18,50
Kansas,7.3,36,9,7.1,24,56
Kentucky,7.6,28,11,8.2,30,60
Louisiana,9.2,46,12,10,38,72
Maine,4.8,6,6,6,14,62
Maryland,8.4,14,8,9,25,63
Massachusetts,5.2,2,6,7.1,16,28
Michigan,8.1,21,9,8,22,45
Minnesota,6.2,14,5,6.1,16,44
Mississippi,10.1,50,12,10.3,45,83
Missouri,7.8,21,7,7.7,27,75
Montana,6.7,39,8,6.8,18,81
Nebraska,6.8,21,7,6.7,20,62
Nevada,6.6,30,16,7.6,37,58
New Hampshire,5.8,3,8,6.2,11,36
New Jersey,6.7,5,6,8.2,18,29
New Mexico,6.9,36,11,7.7,43,87
New York,6.4,7,9,7.8,21,38
North Carolina,9.1,30,11,8.9,35,59
North Dakota,6.8,28,3,6.2,13,56
Ohio,8.2,14,8,7.9,25,44
Oklahoma,8.5,43,9,7.4,33,69
Oregon,5.8,21,13,5.4,25,39
Pennsylvania,7.3,18,7,7.9,21,52
Rhode Island,5.7,7,10,7.3,22,25
South Carolina,10.2,42,11,9.8,38,68
South Dakota,8.9,36,8,5.9,19,79
Tennessee,7.7,43,11,9.2,35,72
Texas,6.2,34,12,7.4,44,54
Utah,4.8,7,9,6.8,23,44
Vermont,5.8,7,6,5.7,12,48
Virginia,7.3,7,8,7.8,23,48
Washington,5,7,9,5.8,22,48
West Virginia,7.4,30,9,8,24,70
Wisconsin,6.7,30,6,6.7,20,48
Wyoming,6.9,48,10,8.4,22,87
