"","x"
"1",3035
"2",2552
"3",2704
"4",2554
"5",2014
"6",1655
"7",1721
"8",1524
"9",1596
"10",2074
"11",2199
"12",2512
"13",2933
"14",2889
"15",2938
"16",2497
"17",1870
"18",1726
"19",1607
"20",1545
"21",1396
"22",1787
"23",2076
"24",2837
"25",2787
"26",3891
"27",3179
"28",2011
"29",1636
"30",1580
"31",1489
"32",1300
"33",1356
"34",1653
"35",2013
"36",2823
"37",3102
"38",2294
"39",2385
"40",2444
"41",1748
"42",1554
"43",1498
"44",1361
"45",1346
"46",1564
"47",1640
"48",2293
"49",2815
"50",3137
"51",2679
"52",1969
"53",1870
"54",1633
"55",1529
"56",1366
"57",1357
"58",1570
"59",1535
"60",2491
"61",3084
"62",2605
"63",2573
"64",2143
"65",1693
"66",1504
"67",1461
"68",1354
"69",1333
"70",1492
"71",1781
"72",1915
