1 1 2 8 7 
2 2 3 9 8 
3 3 4 10 9 
4 4 5 11 10 
5 5 6 12 11 
6 7 8 14 13 
7 8 9 15 14 
8 9 10 16 15 
9 10 11 17 16 
10 11 12 18 17 
11 13 14 20 19 
12 14 15 21 20 
13 15 16 22 21 
14 16 17 23 22 
15 17 18 24 23 
16 19 20 26 25 
17 20 21 27 26 
18 21 22 28 27 
19 22 23 29 28 
20 23 24 30 29 
21 25 26 32 31 
22 26 27 33 32 
23 27 28 34 33 
24 28 29 35 34 
25 29 30 36 35 
26 31 32 38 37 
27 32 33 39 38 
28 33 34 40 39 
29 34 35 41 40 
30 35 36 42 41 
31 37 38 44 43 
32 38 39 45 44 
33 39 40 46 45 
34 40 41 47 46 
35 41 42 48 47 
36 43 44 50 49 
37 44 45 51 50 
38 45 46 52 51 
39 46 47 53 52 
40 47 48 54 53 
41 49 50 56 55 
42 50 51 57 56 
43 51 52 58 57 
44 52 53 59 58 
45 53 54 60 59 
46 55 56 62 61 
47 56 57 63 62 
48 57 58 64 63 
49 58 59 65 64 
50 59 60 66 65 
51 61 62 68 67 
52 62 63 69 68 
53 63 64 70 69 
54 64 65 71 70 
55 65 66 72 71 
56 67 68 74 73 
57 68 69 75 74 
58 69 70 76 75 
59 70 71 77 76 
60 71 72 78 77 
61 73 74 80 79 
62 74 75 81 80 
63 75 76 82 81 
64 76 77 83 82 
65 77 78 84 83 
66 79 80 86 85 
67 80 81 87 86 
68 81 82 88 87 
69 82 83 89 88 
70 83 84 90 89 
71 85 86 92 91 
72 86 87 93 92 
73 87 88 94 93 
74 88 89 95 94 
75 89 90 96 95 
76 91 92 98 97 
77 92 93 99 98 
78 93 94 100 99 
79 94 95 101 100 
80 95 96 102 101 
81 97 98 104 103 
82 98 99 105 104 
83 99 100 106 105 
84 100 101 107 106 
85 101 102 108 107 
86 103 104 110 109 
87 104 105 111 110 
88 105 106 112 111 
89 106 107 113 112 
90 107 108 114 113 
91 109 110 116 115 
92 110 111 117 116 
93 111 112 118 117 
94 112 113 119 118 
95 113 114 120 119 
96 115 116 122 121 
97 116 117 123 122 
98 117 118 124 123 
99 118 119 125 124 
100 119 120 126 125 
