40  4
2.78E-11 6.41E-5
8.25E-11 4.08E-5
1.17E-11 2.04E-5
2.94E-11 4.08E-5
9.81
1 1 1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 2 2 2
3 3 3 3 3 3 3 3 3 3
4 4 4 4 4 4 4 4 4 4
0.305  0.305  0.305  0.305  0.305  0.305  0.305  0.305  0.305  0.305
0.61   0.61   0.61   0.61   0.61   0.61   0.61   0.61   0.61   0.61   
0.914  0.914  0.914  0.914  0.914  0.914  0.914  0.914  0.914  0.914  
0.61   0.61   0.61   0.61   0.61   0.61   0.61   0.61   0.61   0.61   
86400.0 7200  0.5  400  21  740
100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0
100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0
100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0
100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0  100.0
100.0
2
1  0.0
41 0.0

