Party,Income
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Low
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,Middle
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Democrat,High
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Low
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,Middle
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Republican,High
Independent,Low
Independent,Low
Independent,Low
Independent,Low
Independent,Low
Independent,Low
Independent,Low
Independent,Low
Independent,Low
Independent,Low
Independent,Low
Independent,Low
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,Middle
Independent,High
Independent,High
Independent,High
Independent,High
Independent,High
Independent,High
