date  Mkt-RF     SMB     HML      RF
196901   -1.20   -0.80    1.57    0.53
196902   -5.82   -3.90    0.93    0.46
196903    2.59   -0.28   -0.45    0.46
196904    1.52   -0.85    0.06    0.53
196905    0.02   -0.27    0.74    0.48
196906   -7.25   -5.31   -1.15    0.51
196907   -7.05   -3.27    1.36    0.53
196908    4.65    0.89   -3.83    0.50
196909   -2.88    1.20   -3.24    0.62
196910    4.96    3.78   -3.19    0.60
196911   -3.74   -2.58   -1.15    0.52
196912   -2.61   -3.65   -3.01    0.64
197001   -7.93    2.91    3.03    0.60
197002    5.05   -2.44    3.92    0.62
197003   -1.04   -2.39    4.15    0.57
197004  -11.03   -6.12    6.30    0.50
197005   -6.96   -4.51    3.51    0.53
197006   -5.69   -2.13    0.82    0.58
197007    6.90   -0.55    1.01    0.52
197008    4.47    1.51    1.26    0.53
197009    4.21    8.73   -5.62    0.54
197010   -2.28   -4.23    0.22    0.46
197011    4.58   -4.04    1.73    0.46
197012    5.65    2.92    0.96    0.42
197101    4.82    7.48    1.53    0.38
197102    1.36    1.87   -1.38    0.33
197103    4.18    2.58   -4.01    0.30
197104    3.05   -0.43    0.93    0.28
197105   -3.93   -1.08   -1.28    0.29
197106   -0.06   -1.43   -2.14    0.37
197107   -4.43   -1.48    0.01    0.40
197108    3.78   -0.14    2.66    0.47
197109   -0.87    0.45   -2.94    0.37
197110   -4.44   -1.77   -0.51    0.37
197111   -0.50   -2.89   -1.67    0.37
197112    8.76    3.37   -0.26    0.37
197201    2.55    6.10    2.13    0.29
197202    2.88    1.37   -2.84    0.25
197203    0.60   -0.28   -1.68    0.27
197204    0.26    0.01    0.39    0.29
197205    1.34   -2.77   -2.71    0.30
197206   -2.38    0.36   -2.40    0.29
197207   -0.74   -2.86    0.72    0.31
197208    3.31   -4.09    4.62    0.29
197209   -1.11   -2.67    0.48    0.34
197210    0.47   -2.71    1.36    0.40
197211    4.61   -1.13    4.78    0.37
197212    0.75   -1.87   -2.30    0.37
197301   -3.20   -3.51    2.70    0.44
197302   -4.86   -3.98    1.71    0.41
197303   -1.25   -2.91    2.79    0.46
197304   -5.70   -4.03    5.65    0.52
197305   -2.96   -6.12    0.17    0.51
197306   -1.38   -2.96    1.40    0.51
197307    5.07    7.96   -5.31    0.64
197308   -3.67   -2.14    1.22    0.70
197309    4.72    2.89    2.14    0.68
197310   -0.68   -0.21    1.76    0.65
197311  -12.64   -7.75    3.99    0.56
197312    0.50   -5.31    4.05    0.64
197401   -0.19    9.79    5.88    0.63
197402   -0.35   -0.06    2.51    0.58
197403   -2.90    2.41   -0.08    0.56
197404   -5.35   -0.82    0.96    0.75
197405   -4.95   -2.94   -2.00    0.75
197406   -2.89   -0.16    0.80    0.60
197407   -7.79    0.86    5.17    0.70
197408   -9.38   -0.70    2.61    0.60
197409  -11.78    0.31    5.50    0.81
197410   16.05   -3.40   -9.80    0.51
197411   -4.64   -1.21   -0.17    0.54
197412   -3.40   -4.83    0.06    0.70
197501   13.58   10.96    8.24    0.58
197502    5.41    0.18   -4.44    0.43
197503    2.61    3.80    2.50    0.41
197504    4.21   -0.51   -1.24    0.44
197505    5.07    3.87   -4.15    0.44
197506    4.74    0.75    1.34    0.41
197507   -6.52    2.67    1.65    0.48
197508   -2.84   -3.23   -0.86    0.48
197509   -4.33   -0.06    0.40    0.53
197510    5.03   -4.04    0.30    0.56
197511    2.71   -1.21    2.03    0.41
197512   -1.58   -0.79    1.76    0.48
197601   12.13    4.80    8.57    0.47
197602    0.39    7.00    5.81    0.34
197603    2.28   -1.16   -0.11    0.40
197604   -1.46   -0.05   -0.07    0.42
197605   -1.31   -1.26   -1.32    0.37
197606    4.02   -1.34    0.78    0.43
197607   -1.09    0.28    1.74    0.47
197608   -0.56   -1.97    0.83    0.42
197609    2.01    0.01   -0.32    0.44
197610   -2.45    0.16   -0.18    0.41
197611    0.14    2.35    1.49    0.40
197612    5.76    2.98    2.27    0.40
197701   -3.99    4.81    4.29    0.36
197702   -1.93    1.06    0.45    0.35
197703   -1.30    1.03    1.09    0.38
197704    0.12   -0.10    3.44    0.38
197705   -1.45    1.25    0.89    0.37
197706    4.74    2.18   -0.62    0.40
197707   -1.70    2.12   -0.59    0.42
197708   -1.78    1.54   -2.74    0.44
197709   -0.27    1.44   -0.51    0.43
197710   -4.42    1.29    1.76    0.49
197711    4.04    3.69    0.35    0.50
197712    0.33    1.37   -0.32    0.49
197801   -6.01    2.22    3.30    0.49
197802   -1.39    3.61    0.87    0.46
197803    2.87    3.41    1.23    0.53
197804    7.74    0.37   -3.47    0.54
197805    1.81    4.63   -0.59    0.51
197806   -1.62    1.74    0.56    0.54
197807    5.11    0.29   -1.14    0.56
197808    3.69    5.08   -0.47    0.55
197809   -1.31   -0.41    1.89    0.62
197810  -11.78   -9.95    1.37    0.68
197811    2.68    3.10   -2.19    0.70
197812    0.99    1.27   -2.12    0.78
197901    4.18    3.66    2.17    0.77
197902   -3.41    0.45    1.15    0.73
197903    5.75    3.20   -0.62    0.81
197904    0.05    2.19    1.08    0.80
197905   -2.18    0.12    1.29    0.82
197906    3.88    1.14    1.45    0.81
197907    0.73    1.29    1.79    0.77
197908    5.70    2.03   -1.58    0.77
197909   -0.69   -0.27   -0.90    0.83
197910   -8.14   -3.30   -1.88    0.87
197911    5.37    2.79   -3.25    0.99
197912    1.87    4.13   -2.03    0.95
198001    5.76    1.69    1.76    0.80
198002   -0.79   -1.80    0.59    0.89
198003  -13.23   -6.64   -1.03    1.21
198004    3.97    0.95    1.06    1.26
198005    5.20    2.08    0.34    0.81
198006    3.16    1.71   -0.87    0.61
198007    6.41    4.29   -6.22    0.53
198008    1.72    3.94   -2.64    0.64
198009    2.20    0.92   -4.65    0.75
198010    1.06    2.53   -2.70    0.95
198011    9.53   -3.37   -8.44    0.96
198012   -4.75   -0.32    2.66    1.31
198101   -5.05    2.96    6.82    1.04
198102    0.48   -0.36    1.02    1.07
198103    3.41    3.56    0.71    1.21
198104   -2.21    4.41    2.26    1.08
198105    0.21    2.02   -0.39    1.15
198106   -2.37   -0.86    5.09    1.35
198107   -1.55   -2.14   -0.57    1.24
198108   -6.91   -1.95    4.83    1.28
198109   -7.62   -2.66    5.20    1.24
198110    4.81    2.19   -4.16    1.21
198111    3.52   -0.99    1.86    1.07
198112   -3.68    1.20    0.75    0.87
198201   -3.42   -1.22    3.11    0.80
198202   -6.03    0.47    6.00    0.92
198203   -1.99   -0.23    3.91    0.98
198204    3.20    1.52   -2.79    1.13
198205   -3.88    0.48    1.84    1.06
198206   -3.35   -0.38    1.52    0.96
198207   -3.10    0.88    0.19    1.05
198208   11.14   -4.15    1.13    0.76
198209    1.17    2.94    0.34    0.51
198210   11.27    2.33   -3.64    0.59
198211    4.56    4.79   -1.93    0.63
198212    0.78   -0.17    0.05    0.67
198301    3.50    2.69   -0.88    0.69
198302    2.40    3.24    0.74    0.62
198303    2.84    1.80    2.06    0.63
198304    6.71    0.47    0.56    0.71
198305    0.63    6.18   -1.41    0.69
198306    3.11    0.96   -3.83    0.67
198307   -3.90    1.50    5.57    0.74
198308   -0.41   -4.30    5.55    0.76
198309    0.85    0.59    1.06    0.76
198310   -3.56   -3.60    4.97    0.76
198311    2.26    2.02   -0.72    0.70
198312   -1.78   -0.27    1.74    0.73
198401   -2.06   -0.40    7.62    0.76
198402   -4.62   -1.67    3.36    0.71
198403    0.61    0.06    0.55    0.73
198404   -0.56   -1.14    1.26    0.81
198405   -6.01    0.06    0.22    0.78
198406    1.59   -0.24   -2.66    0.75
198407   -2.88   -2.28    0.33    0.82
198408   10.44   -0.27   -1.84    0.83
198409   -0.82    0.22    5.27    0.86
198410   -1.01   -1.18    0.53    1.00
198411   -1.80   -0.67    3.97    0.73
198412    1.73   -0.56   -0.09    0.64
198501    7.92    3.25   -5.37    0.65
198502    1.11    0.84   -0.07    0.58
198503   -0.79   -1.12    4.02    0.62
198504   -0.94    0.15    3.69    0.72
198505    4.92   -2.26   -0.86    0.66
198506    1.16    0.51    0.47    0.55
198507   -0.65    2.84   -1.61    0.62
198508   -1.03   -0.35    2.19    0.55
198509   -4.58   -1.61    1.23    0.60
198510    3.79   -1.58    0.70    0.65
198511    6.31    0.19   -2.92    0.61
198512    3.66   -0.41   -1.48    0.65
198601    0.42    1.18    0.48    0.56
198602    6.72   -0.51   -0.64    0.53
198603    4.79   -0.56   -0.55    0.60
198604   -1.31    2.75   -2.97    0.52
198605    4.59   -1.25   -0.14    0.49
198606    0.90   -0.92    1.30    0.52
198607   -6.49   -3.43    4.70    0.52
198608    6.16   -4.20    3.54    0.46
198609   -8.35    2.29    3.20    0.45
198610    4.47   -2.59   -1.42    0.46
198611    1.12   -1.96   -0.10    0.39
198612   -3.13    0.09    0.31    0.49
198701   12.43   -1.75   -3.10    0.42
198702    4.36    3.48   -5.90    0.43
198703    1.89    0.36    1.61    0.47
198704   -2.14   -1.67   -0.22    0.44
198705    0.13   -0.54    0.23    0.38
198706    3.89   -2.11    1.15    0.48
198707    3.96   -0.49    0.91    0.46
198708    3.24   -0.78   -0.99    0.47
198709   -2.53    0.57    0.29    0.45
198710  -23.13   -8.42    4.09    0.60
198711   -7.58    2.63    3.25    0.35
198712    6.64    0.17   -4.44    0.39
198801    4.20   -0.63    5.18    0.29
198802    4.71    3.38   -1.55    0.46
198803   -2.10    6.18    0.80    0.44
198804    0.64    0.92    1.64    0.46
198805   -0.47   -2.68    2.26    0.51
198806    4.66    2.03   -1.26    0.49
198807   -1.24   -0.17    2.29    0.51
198808   -3.39    0.10    2.04    0.59
198809    3.10   -1.28   -0.70    0.62
198810    1.15   -2.91    1.62    0.61
198811   -2.21   -1.76    1.23    0.57
198812    1.48    1.95   -1.51    0.63
198901    6.06   -2.12    0.57    0.55
198902   -2.25    2.78    0.89    0.61
198903    1.48    0.74    0.51    0.67
198904    4.15   -0.56   -1.47    0.67
198905    3.14   -0.04   -0.85    0.79
198906   -1.20   -1.00    2.17    0.71
198907    7.01   -4.05   -2.72    0.70
198908    1.47    0.59    0.64    0.74
198909   -0.80    0.33   -1.29    0.65
198910   -3.61   -3.23   -1.14    0.68
198911    1.09   -1.24   -1.15    0.69
198912    1.22   -2.38    0.19    0.61
199001   -7.58   -1.26    0.82    0.57
199002    0.92    1.04    0.64    0.57
199003    1.77    1.49   -2.90    0.64
199004   -3.52   -0.47   -2.47    0.69
199005    8.21   -2.60   -3.75    0.68
199006   -1.05    1.46   -2.03    0.63
199007   -1.62   -3.07    0.11    0.68
199008   -9.85   -3.51    1.54    0.66
199009   -5.98   -3.65    0.66    0.60
199010   -1.93   -5.56    0.21    0.68
199011    6.00    0.32   -3.01    0.57
199012    2.35    0.79   -1.56    0.60
199101    4.39    3.84   -1.74    0.52
199102    7.10    3.91   -0.58    0.48
199103    2.45    3.92   -1.21    0.44
199104   -0.20    0.52    1.45    0.53
199105    3.60   -0.36   -0.53    0.47
199106   -4.82    0.12    1.14    0.42
199107    4.19   -0.96   -1.30    0.49
199108    2.22    1.61   -0.79    0.46
199109   -1.56    1.67   -1.09    0.46
199110    1.36    0.87   -0.41    0.42
199111   -4.12   -0.55   -1.84    0.39
199112   10.30   -2.26   -4.01    0.38
199201   -0.46    8.43    4.53    0.34
199202    1.06    0.88    6.37    0.28
199203   -2.71   -1.04    3.66    0.34
199204    1.02   -6.11    4.33    0.32
199205    0.36    0.40    1.23    0.28
199206   -2.25   -3.09    3.30    0.32
199207    3.68   -0.42   -0.52    0.31
199208   -2.34   -0.09   -1.07    0.26
199209    0.98    0.55   -0.22    0.26
199210    0.87    2.09   -2.06    0.23
199211    3.79    3.61   -1.57    0.23
199212    1.50    1.64    2.49    0.28
199301    1.03    2.02    5.83    0.23
199302    0.32   -3.37    6.52    0.22
199303    2.26    0.30    1.29    0.25
199304   -2.78   -0.68    2.62    0.24
199305    2.74    2.00   -3.39    0.22
199306    0.29   -0.30    2.59    0.25
199307   -0.32    0.97    3.25    0.24
199308    3.70    0.29   -0.46    0.25
199309   -0.20    3.15   -0.43    0.26
199310    1.59    1.45   -1.59    0.22
199311   -2.01   -1.44   -0.29    0.25
199312    1.72    1.23    0.58    0.23
199401    2.90    0.13    2.11    0.25
199402   -2.63    2.71   -1.45    0.21
199403   -4.85   -0.94    1.36    0.27
199404    0.68   -0.87    1.70    0.27
199405    0.62   -2.02    0.20    0.32
199406   -3.10   -0.48    1.67    0.31
199407    2.78   -1.77    0.97    0.28
199408    3.89    1.44   -3.49    0.37
199409   -2.21    2.68   -1.80    0.37
199410    1.07   -2.16   -2.36    0.38
199411   -4.09   -0.17   -0.05    0.37
199412    0.82    0.05    0.26    0.44
199501    1.62   -2.94    1.67    0.42
199502    3.56   -0.34    0.39    0.40
199503    2.24   -0.35   -2.04    0.46
199504    2.06   -0.41    1.73    0.44
199505    2.86   -2.22    1.92    0.54
199506    2.65    3.09   -2.95    0.47
199507    3.63    2.24   -2.23    0.45
199508    0.46    1.82    1.92    0.47
199509    3.21   -2.04   -0.98    0.43
199510   -1.60   -3.94   -0.12    0.47
199511    3.85   -0.84    0.31    0.42
199512    1.03    0.39    1.32    0.49
199601    2.38   -2.52    0.42    0.43
199602    1.24    2.07   -2.24    0.39
199603    0.70    1.31    1.31    0.39
199604    2.09    4.91   -4.02    0.46
199605    2.26    3.24   -1.38    0.42
199606   -1.23   -3.66    1.97    0.40
199607   -5.83   -3.57    4.34    0.45
199608    2.84    2.28   -0.57    0.41
199609    4.86   -0.80   -3.78    0.44
199610    0.94   -4.10    4.82    0.42
199611    6.14   -3.56    0.21    0.41
199612   -1.60    3.13    0.94    0.46
199701    4.89   -1.51   -2.32    0.45
199702   -0.50   -2.57    4.73    0.39
199703   -4.91   -0.33    3.88    0.43
199704    3.80   -5.16   -1.04    0.43
199705    6.67    4.80   -4.33    0.49
199706    4.04    1.51    0.65    0.37
199707    7.22   -2.42   -0.38    0.43
199708   -4.04    7.49    1.06    0.41
199709    5.40    2.68   -0.26    0.44
199710   -3.87   -0.86    2.28    0.42
199711    2.66   -5.02    0.98    0.39
199712    1.30   -2.35    3.80    0.48
199801    0.02   -1.02   -1.80    0.43
199802    6.93    0.27   -0.74    0.39
199803    4.74   -1.18    1.66    0.39
199804    0.66    0.44    0.32    0.43
199805   -2.98   -3.59    4.26    0.40
199806    2.79   -3.26   -1.88    0.41
199807   -2.73   -4.95   -1.13    0.40
199808  -16.20   -5.71    5.13    0.43
199809    5.92   -0.17   -3.92    0.46
199810    7.12   -3.24   -2.72    0.32
199811    5.89    1.11   -3.42    0.31
199812    5.93   -0.28   -4.86    0.38
