Year,Production (In Thousands of Barrels)
1949,1841940
1950,1973574
1951,2247711
1952,2289836
1953,2357082
1954,2314988
1955,2484428
1956,2617283
1957,2616901
1958,2448987
1959,2574590
1960,2574933
1961,2621758
1962,2676189
1963,2752723
1964,2786822
1965,2848514
1966,3027763
1967,3215742
1968,3329042
1969,3371751
1970,3517450
1971,3453914
1972,3455368
1973,3360903
1974,3202585
1975,3056779
1976,2976180
1977,3009265
1978,3178216
1979,3121310
1980,3146365
1981,3128624
1982,3156715
1983,3170999
1984,3249696
1985,3274553
1986,3168252
1987,3047377
1988,2979126
1989,2778772
1990,2684689
1991,2707039
1992,2624631
1993,2499033
1994,2431476
1995,2394269
1996,2366016
1997,2354831
1998,2281920
1999,2146732
2000,2130706
2001,2117512
2002,2097124
2003,2073454
2004,1983300
2005,1890107
