stf	 ctyf	countyNm	 stateAb	 totPop	 hHolds	 land	 lat	 lon
1	7500	Lamar              	AL	15715	6617	1566658	33775081	-88096415
1	7700	Lauderdale         	AL	79661	33522	1734061	34903733	-87647581
1	7900	Lawrence           	AL	31513	12212	1796023	34519990	-87310217
1	8100	Lee                	AL	87146	36636	1576767	32597367	-85355886
1	8300	Limestone          	AL	54135	21455	1471352	34810321	-86981426
1	8500	Lowndes            	AL	12658	4792	1859626	32157500	-86642632
1	8700	Macon              	AL	24928	9818	1581388	32384887	-85692573
1	8900	Madison            	AL	238912	97855	2084844	34760002	-86548777
1	9100	Marengo            	AL	23084	9144	2530740	32248548	-87790375
1	9300	Marion             	AL	29830	12597	1920398	34134472	-87886567
1	9500	Marshall           	AL	70832	30225	1468803	34365158	-86313058
1	9700	Mobile             	AL	378643	151220	3194402	30684350	-88198527
1	9900	Monroe             	AL	23968	9633	2657256	31562730	-87353102
1	10100	Montgomery         	AL	209085	84525	2045765	32224349	-86203795
1	10300	Morgan             	AL	100043	40419	1508018	34453298	-86857298
1	10500	Perry              	AL	12759	4807	1863600	32638846	-87293685
1	10700	Pickens            	AL	20699	8379	2282979	33283797	-88084083
1	10900	Pike               	AL	27595	11506	1738113	31806086	-85938912
1	11100	Randolph           	AL	19881	8728	1505028	33290802	-85456433
1	11300	Russell            	AL	46860	19633	1660542	32287341	-85184114
1	11700	Shelby             	AL	99358	39201	2058840	33266792	-86654667
1	11500	St. Clair          	AL	50009	20382	1642030	33712571	-86318306
1	11900	Sumter             	AL	16174	6545	2343918	32593446	-88193795
1	12100	Talladega          	AL	74107	29861	1915562	33383988	-86169488
1	12300	Tallapoosa         	AL	38826	17312	1859724	32860832	-85797597
1	12500	Tuscaloosa         	AL	150522	58740	3432429	33287940	-87523765
1	12700	Walker             	AL	67670	28427	2057633	33807130	-87295532
1	12900	Washington         	AL	16694	6625	2799102	31402696	-88202751
1	13100	Wilcox             	AL	13568	5119	2301870	31990903	-87308887
1	13300	Winston            	AL	22053	10254	1591515	34154535	-87373481
4	100	Apache             	AZ	61591	26731	29022713	35383620	-109488456
4	300	Cochise            	AZ	97624	40238	15980285	31890821	-109736956
4	500	Coconino           	AZ	96591	42914	48223545	35835573	-111768163
4	700	Gila               	AZ	40216	22961	12349309	33797288	-110818155
4	900	Graham             	AZ	26554	9112	11990779	32936517	-109891347
4	1100	Greenlee           	AZ	8008	3582	4784084	33185081	-109232988
4	1200	La Paz             	AZ	13844	10182	11653884	33727923	-113979016
4	1300	Maricopa           	AZ	2122101	952041	23838482	33342656	-112490919
4	1500	Mohave             	AZ	93497	50822	34479166	35708232	-113753337
4	1700	Navajo             	AZ	77658	38967	25780344	35387551	-110319661
4	1900	Pima               	AZ	666880	298207	23794348	32103960	-111814821
4	2100	Pinal              	AZ	116379	52732	13908286	32909084	-111346897
4	2300	Santa Cruz         	AZ	29676	9595	3205764	31523864	-110836469
4	2500	Yavapai            	AZ	107714	54805	21039978	34595236	-112554041
4	2700	Yuma               	AZ	106895	46541	14282395	32764761	-113897214
5	100	Arkansas           	AR	21653	9575	2560297	34288872	-91376344
5	300	Ashley             	AR	24319	9820	2386316	33190783	-91772262
5	500	Baxter             	AR	31186	15549	1435941	36286225	-92339841
5	700	Benton             	AR	97499	41444	2184170	36337987	-94257842
5	900	Boone              	AR	28297	12380	1531264	36313592	-93092833
5	1100	Bradley            	AR	11793	5092	1685258	33463242	-92168367
5	1300	Calhoun            	AR	5826	2437	1627372	33554153	-92497141
5	1500	Carroll            	AR	18654	8740	1641517	36337153	-93541961
5	1700	Chicot             	AR	15713	6191	1668139	33266340	-91297700
5	1900	Clark              	AR	21437	8807	2241656	34053832	-93176507
5	2100	Clay               	AR	18107	8362	1655897	36376360	-90421474
5	2300	Cleburne           	AR	19411	10802	1432511	35542425	-92028995
5	2500	Cleveland          	AR	7781	3322	1548180	33894438	-92187914
5	2700	Columbia           	AR	25691	10690	1984432	33215092	-93226530
5	2900	Conway             	AR	19151	8009	1440612	35263495	-92695052
5	3100	Craighead          	AR	68956	28434	1840977	35828124	-90631882
5	3300	Crawford           	AR	42493	16711	1542341	35579452	-94246370
5	3500	Crittenden         	AR	49939	18875	1581190	35212638	-90314064
5	3700	Cross              	AR	19225	7254	1595167	35300011	-90771434
5	3900	Dallas             	AR	9614	4049	1728746	33966853	-92657033
5	4100	Desha              	AR	16798	6706	1981447	33831260	-91259304
5	4300	Drew               	AR	17369	7159	2145148	33589683	-91716904
5	4500	Faulkner           	AR	60006	23397	1676682	35147169	-92335289
5	4700	Franklin           	AR	14897	6228	1578854	35512250	-93891926
5	4900	Fulton             	AR	10037	4839	1601231	36383112	-91818910
5	5100	Garland            	AR	73397	37966	1756152	34573320	-93153957
5	5300	Grant              	AR	13948	5540	1636421	34287458	-92423425
5	5500	Greene             	AR	31804	13216	1495864	36119053	-90562264
5	5700	Hempstead          	AR	21621	9690	1887721	33731300	-93664959
5	5900	Hot Spring         	AR	26115	11378	1592780	34320144	-92945112
5	6100	Howard             	AR	13569	5600	1521532	34089827	-93989511
5	6300	Independence       	AR	31192	12838	1978371	35744099	-91566218
5	6500	Izard              	AR	11364	5535	1504118	36094609	-91911006
5	6700	Jackson            	AR	18944	8086	1640953	35600258	-91213910
5	6900	Jefferson          	AR	85487	33311	2291610	34269210	-91929077
5	7100	Johnson            	AR	18221	7984	1715127	35569018	-93461165
5	7300	Lafayette          	AR	9643	4523	1363745	33235524	-93610593
5	7500	Lawrence           	AR	17457	7692	1519327	36043049	-91114974
5	7700	Lee                	AR	13053	5085	1558398	34779637	-90780318
5	7900	Lincoln            	AR	13690	4295	1453606	33953221	-91733936
5	8100	Little River       	AR	13966	6171	1377273	33700236	-94235637
5	8300	Logan              	AR	20557	8539	1838692	35215114	-93712628
5	8500	Lonoke             	AR	39268	15009	1982649	34755054	-91883118
5	8700	Madison            	AR	11618	5182	2167716	36012240	-93723070
5	8900	Marion             	AR	12001	6139	1548137	36262962	-92679917
5	9100	Miller             	AR	38467	16172	1616349	33311498	-93880562
5	9300	Mississippi        	AR	57525	22232	2326636	35764082	-90054475
5	9500	Monroe             	AR	11333	5063	1571408	34680279	-91203053
5	9700	Montgomery         	AR	7841	4269	2022732	34545966	-93660190
5	9900	Nevada             	AR	10101	4287	1605822	33666725	-93302881
5	10100	Newton             	AR	7666	3439	2131641	35917735	-93223087
5	10300	Ouachita           	AR	30574	13204	1897230	33591134	-92879263
5	10500	Perry              	AR	7969	3702	1426983	34946973	-92934055
5	10700	Phillips           	AR	28838	11094	1794151	34425633	-90852019
5	10900	Pike               	AR	10086	4550	1561920	34166363	-93654743
5	11100	Poinsett           	AR	24664	10271	1962683	35577391	-90663212
5	11300	Polk               	AR	17347	7732	2225987	34474769	-94224002
5	11500	Pope               	AR	45883	18430	2102961	35446432	-93035762
5	11700	Prairie            	AR	9518	4340	1673146	34827607	-91557246
5	11900	Pulaski            	AR	349660	151538	1996803	34770100	-92310815
5	12100	Randolph           	AR	16558	7343	1688348	36342062	-91028073
5	12500	Saline             	AR	64183	24602	1877132	34648426	-92674589
5	12700	Scott              	AR	10205	4485	2315294	34858644	-94063491
5	12900	Searcy             	AR	7841	3739	1728047	35917529	-92703260
5	13100	Sebastian          	AR	99590	43621	1389183	35199151	-94275394
5	13300	Sevier             	AR	13637	5880	1460694	33998508	-94237697
5	13500	Sharp              	AR	14109	7617	1565395	36153912	-91481513
5	12300	St. Francis        	AR	28497	10958	1641756	35021644	-90747325
5	13700	Stone              	AR	9775	4548	1571193	35862902	-92153495
5	13900	Union              	AR	46719	20276	2690992	33170291	-92594441
5	14100	Van Buren          	AR	14008	7580	1842925	35581189	-92519040
5	14300	Washington         	AR	113409	47349	2461133	35985741	-94214352
5	14500	White              	AR	54676	21658	2678446	35254806	-91745790
5	14700	Woodruff           	AR	9520	4169	1519295	35187551	-91241026
5	14900	Yell               	AR	17759	7868	2403247	34997776	-93406902
6	100	Alameda            	CA	1279182	504109	1910082	37653853	-121913948
6	300	Alpine             	CA	1113	1319	1913110	38579180	-119804453
6	500	Amador             	CA	30039	12814	1534745	38444419	-120655265
6	700	Butte              	CA	182120	76115	4246565	39662375	-121596065
6	900	Calaveras          	CA	31998	19153	2642286	38207542	-120551793
6	1100	Colusa             	CA	16275	6295	2980513	39176482	-122235120
6	1300	Contra Costa       	CA	803732	316170	1865540	37933350	-121948700
6	1500	Del Norte          	CA	23460	9091	2610426	41737320	-123956960
6	1700	El Dorado          	CA	125995	61451	4432778	38775488	-120527585
6	1900	Fresno             	CA	667490	235563	15444704	36753992	-119647934
6	2100	Glenn              	CA	24798	9329	3405550	39594777	-122391742
6	2300	Humboldt           	CA	119118	51134	9253541	40700416	-123911969
6	2500	Imperial           	CA	109303	36559	10813387	33038512	-115352917
6	2700	Inyo               	CA	18281	8712	26397464	36589328	-117483183
6	2900	Kern               	CA	543477	198636	21086815	35338498	-118724910
6	3100	Kings              	CA	101469	30843	3598768	36072642	-119814766
6	3300	Lake               	CA	50631	28822	3259420	39090857	-122762036
6	3500	Lassen             	CA	27598	10358	11803898	40652341	-120577604
6	3700	Los Angeles        	CA	8863164	3163343	10515327	34184667	-118261988
6	3900	Madera             	CA	88090	30831	5538501	37219685	-119765135
6	4100	Marin              	CA	230096	99757	1346220	38035300	-122743465
6	4300	Mariposa           	CA	14302	7700	3758645	37578193	-119909601
6	4500	Mendocino          	CA	80345	33649	9089043	39431152	-123431626
6	4700	Merced             	CA	178403	58410	4995828	37189464	-120711131
6	4900	Modoc              	CA	9678	4672	10215900	41595361	-120718555
6	5100	Mono               	CA	9956	10664	7885220	37910550	-118873970
6	5300	Monterey           	CA	355660	121224	8603831	36239310	-121310622
6	5500	Napa               	CA	110765	44199	1952502	38502833	-122323151
6	5700	Nevada             	CA	78510	37352	2480332	39304003	-120766234
6	5900	Orange             	CA	2410556	875072	2045273	33674967	-117777399
6	6100	Placer             	CA	172796	77879	3637424	39064980	-120727661
6	6300	Plumas             	CA	19739	11942	6614759	40010792	-120834136
6	6500	Riverside          	CA	1170413	483847	18669111	33727917	-115977297
6	6700	Sacramento         	CA	1041219	417574	2501140	38445368	-121349033
6	6900	San Benito         	CA	36697	12230	3597857	36611964	-121084212
6	7100	San Bernardino     	CA	1418380	542332	51961173	34828251	-116191349
6	7300	San Diego          	CA	2498016	946240	10889601	33020561	-116771868
6	7500	San Francisco      	CA	723959	328471	120955	37793250	-122554783
6	7700	San Joaquin        	CA	480628	166274	3624078	37932561	-121270600
6	7900	San Luis Obispo    	CA	217162	90200	8558655	35381635	-120445529
6	8100	San Mateo          	CA	649623	251782	1163191	37436567	-122356471
6	8300	Santa Barbara      	CA	369608	138149	7092635	34536645	-120025949
6	8500	Santa Clara        	CA	1497577	540240	3344260	37232600	-121686315
6	8700	Santa Cruz         	CA	229734	91878	1154295	37025900	-122007235
6	8900	Shasta             	CA	147036	60552	9804847	40760008	-122038133
6	9100	Sierra             	CA	3318	2166	2469392	39590741	-120499150
6	9300	Siskiyou           	CA	43531	20141	16283999	41589207	-122533064
6	9500	Solano             	CA	340421	119533	2144950	38267400	-121938347
6	9700	Sonoma             	CA	388222	161062	4082375	38512470	-122928697
6	9900	Stanislaus         	CA	370522	132027	3870915	37562401	-120993750
6	10100	Sutter             	CA	64415	24163	1560972	39039974	-121689128
6	10300	Tehama             	CA	49625	20403	7643208	40129251	-122233448
6	10500	Trinity            	CA	13063	7540	8233259	40657296	-123118229
6	10700	Tulare             	CA	311921	105013	12494995	36227815	-118796611
6	10900	Tuolumne           	CA	48456	25175	5790331	38018666	-119944921
6	11100	Ventura            	CA	669016	228478	4781006	34356248	-119146228
6	11300	Yolo               	CA	141092	53000	2622211	38701200	-121882611
6	11500	Yuba               	CA	58228	21245	1632871	39270692	-121352619
8	100	Adams              	CO	265038	106947	3087330	39870594	-104350313
8	300	Alamosa            	CO	13617	5254	1872041	37571634	-105784847
8	500	Arapahoe           	CO	391511	168665	2080195	39644335	-104331552
8	700	Archuleta          	CO	5345	3951	3494929	37186710	-107052349
8	900	Baca               	CO	4556	2434	6619704	37320937	-102556991
8	1100	Bent               	CO	5048	2332	3921320	37954862	-103076652
8	1300	Boulder            	CO	225339	94621	1922962	40088471	-105357295
8	1500	Chaffee            	CO	12684	6547	2625019	38737034	-106175994
8	1700	Cheyenne           	CO	2397	1083	4614037	38820224	-102587596
8	1900	Clear Creek        	CO	7619	4811	1024242	39687705	-105635856
8	2100	Conejos            	CO	7453	3574	3334210	37206085	-106194112
8	2300	Costilla           	CO	3190	1743	3177868	37276261	-105427953
8	2500	Crowley            	CO	3946	1415	2043630	38327049	-103785398
8	2700	Custer             	CO	1926	2216	1913849	38092794	-105360548
8	2900	Delta              	CO	20980	10082	2958318	38862219	-107861186
8	3100	Denver             	CO	467610	239636	397000	39768035	-104872655
8	3300	Dolores            	CO	1504	947	2763569	37754722	-108521796
8	3500	Douglas            	CO	60391	22291	2176034	39346424	-104930454
8	3700	Eagle              	CO	21928	15226	4371813	39624387	-106703546
8	4100	El Paso            	CO	397014	165056	5508139	38837901	-104521087
8	3900	Elbert             	CO	9646	3997	4793832	39282065	-104128464
8	4300	Fremont            	CO	32273	13683	3970562	38476215	-105437970
8	4500	Garfield           	CO	29974	12517	7634019	39603247	-107896925
8	4700	Gilpin             	CO	3070	2438	388185	39858816	-105519522
8	4900	Grand              	CO	7966	9985	4790858	40101500	-106118050
8	5100	Gunnison           	CO	10273	7294	8389473	38668937	-107013567
8	5300	Hinsdale           	CO	467	1254	2895008	37821179	-107279829
8	5500	Huerfano           	CO	6009	3913	4120302	37686839	-104958585
8	5700	Jackson            	CO	1605	1326	4178477	40662438	-106338973
8	5900	Jefferson          	CO	438430	178611	2000066	39587467	-105246813
8	6100	Kiowa              	CO	1688	878	4587152	38433599	-102740735
8	6300	Kit Carson         	CO	7140	3224	5597046	39305339	-102602452
8	6700	La Plata           	CO	32284	15412	4382547	37285784	-107846076
8	6500	Lake               	CO	6007	3527	976220	39189931	-106358091
8	6900	Larimer            	CO	186136	77811	6737717	40648764	-105456325
8	7100	Las Animas         	CO	13765	6975	12361967	37320189	-104043298
8	7300	Lincoln            	CO	4529	2204	6698422	38978727	-103523258
8	7500	Logan              	CO	17567	7824	4762034	40729106	-103105037
8	7700	Mesa               	CO	93145	39208	8619301	39021885	-108468152
8	7900	Mineral            	CO	558	1201	2268407	37692655	-106926879
8	8100	Moffat             	CO	11357	5235	12283130	40608316	-108202444
8	8300	Montezuma          	CO	18672	8050	5275658	37335739	-108595519
8	8500	Montrose           	CO	24423	10353	5803533	38405803	-108269076
8	8700	Morgan             	CO	21939	9230	3329341	40263386	-103807282
8	8900	Otero              	CO	20185	8739	3270978	37895624	-103711148
8	9100	Ouray              	CO	2295	1507	1403958	38156773	-107765790
8	9300	Park               	CO	7174	7247	5700126	39116743	-105713562
8	9500	Phillips           	CO	4189	1960	1781041	40593813	-102348564
8	9700	Pitkin             	CO	12661	9837	2512791	39220673	-106921365
8	9900	Prowers            	CO	13347	5855	4248870	37955682	-102395291
8	10100	Pueblo             	CO	123051	50872	6187013	38152996	-104506384
8	10300	Rio Blanco         	CO	5972	2803	8342809	39975262	-108199107
8	10500	Rio Grande         	CO	10770	5277	2363618	37606496	-106388011
8	10700	Routt              	CO	14088	9252	6116970	40484190	-106987384
8	10900	Saguache           	CO	4619	2306	8206818	38079466	-106298793
8	11100	San Juan           	CO	745	481	1003501	37770293	-107667201
8	11300	San Miguel         	CO	3653	2635	3332147	38013248	-108426142
8	11500	Sedgwick           	CO	2690	1414	1420044	40877059	-102352967
8	11700	Summit             	CO	12881	17091	1575263	39618528	-106107845
8	11900	Teller             	CO	12468	7565	1442874	38881039	-105154213
8	12100	Washington         	CO	4812	2307	6529788	39975530	-103200802
8	12300	Weld               	CO	131821	51138	10341289	40544755	-104403026
8	12500	Yuma               	CO	8954	4082	6128327	40000314	-102422375
9	100	Fairfield          	CT	827645	324355	1620958	41220541	-73370258
9	300	Hartford           	CT	851783	341812	1904942	41807057	-72730638
9	500	Litchfield         	CT	174092	74274	2382814	41791442	-73248209
9	700	Middlesex          	CT	143196	61593	956442	41434712	-72525628
9	900	New Haven          	CT	804219	327079	1569001	41364185	-72905783
9	1100	New London         	CT	254957	104461	1725144	41476511	-72120325
9	1300	Tolland            	CT	128699	46677	1062118	41848002	-72336579
9	1500	Windham            	CT	102525	40599	1328152	41832256	-71988188
10	100	Kent               	DE	110993	42106	1529809	39097086	-75503073
10	300	New Castle         	DE	441946	173560	1104114	39580568	-75638048
10	500	Sussex             	DE	113229	74253	2428532	38683270	-75341817
11	100	District of Columbia      	DC	606900	278489	159055	38905050	-77016167
12	100	Alachua            	FL	181596	79022	2264434	29676032	-82358340
12	300	Baker              	FL	18486	5975	1515797	30323793	-82273806
12	500	Bay                	FL	126994	65999	1978094	30236006	-85632422
12	700	Bradford           	FL	22515	8099	759262	29949503	-82168177
12	900	Brevard            	FL	398978	185150	2637899	28299334	-80701041
12	1100	Broward            	FL	1255488	628660	3131031	26146138	-80452893
12	1300	Calhoun            	FL	11011	4468	1469535	30410180	-85197404
12	1500	Charlotte          	FL	110975	64641	1796610	26898308	-81954072
12	1700	Citrus             	FL	93515	49854	1511530	28849240	-82516378
12	1900	Clay               	FL	105986	40249	1556962	29976759	-81857936
12	2100	Collier            	FL	152099	94165	5245928	26082939	-81400686
12	2300	Columbia           	FL	42613	17818	2064645	30225177	-82625028
12	2500	Dade               	FL	1937094	771288	5036666	25606400	-80502124
12	2700	DeSoto             	FL	23865	10310	1650678	27190624	-81806155
12	2900	Dixie              	FL	10585	6445	1823511	29585858	-83193638
12	3100	Duval              	FL	672971	284673	2004272	30334150	-81648509
12	3300	Escambia           	FL	262798	112230	1718833	30607280	-87332598
12	3500	Flagler            	FL	28701	15215	1256204	29469979	-81296926
12	3700	Franklin           	FL	8967	5891	1383016	29801578	-84816733
12	3900	Gadsden            	FL	41105	14859	1336850	30581582	-84612367
12	4100	Gilchrist          	FL	9667	4071	903551	29734195	-82802705
12	4300	Glades             	FL	7591	4624	2003374	26954363	-81186194
12	4500	Gulf               	FL	11504	6339	1463498	29900149	-85242231
12	4700	Hamilton           	FL	10930	4119	1333540	30491675	-82948911
12	4900	Hardee             	FL	19499	7941	1650755	27493625	-81809276
12	5100	Hendry             	FL	25773	9945	2985493	26553696	-81173157
12	5300	Hernando           	FL	101115	50018	1238788	28553015	-82468232
12	5500	Highlands          	FL	68432	40114	2663763	27340557	-81342583
12	5700	Hillsborough       	FL	834054	367740	2722149	27906325	-82346095
12	5900	Holmes             	FL	15778	6785	1249792	30867450	-85812332
12	6100	Indian River       	FL	90208	47128	1303415	27697840	-80578968
12	6300	Jackson            	FL	41375	16320	2371860	30797108	-85212767
12	6500	Jefferson          	FL	11296	4395	1548270	30420936	-83896458
12	6700	Lafayette          	FL	5578	2266	1405927	29988319	-83179529
12	6900	Lake               	FL	152104	75707	2468542	28765579	-81717405
12	7100	Lee                	FL	335113	189051	2081333	26577579	-81921462
12	7300	Leon               	FL	192493	81325	1727000	30456900	-84279084
12	7500	Levy               	FL	25923	12307	2896765	29277485	-82789848
12	7700	Liberty            	FL	5569	2157	2165059	30232796	-84886906
12	7900	Madison            	FL	16569	6275	1792169	30451966	-83467226
12	8100	Manatee            	FL	211707	115245	1919712	27481355	-82359737
12	8300	Marion             	FL	194833	94567	4089586	29211533	-82059049
12	8500	Martin             	FL	100900	54199	1439195	27079690	-80396904
12	8700	Monroe             	FL	78024	46215	2582917	25117067	-81150319
12	8900	Nassau             	FL	43941	18726	1687684	30610692	-81767656
12	9100	Okaloosa           	FL	100000	62569	2423687	30668312	-86593016
12	9100	Okaloosa           	FL	43776	62569	2423687	30668312	-86593016
12	9300	Okeechobee         	FL	29627	13266	2005522	27385038	-80889832
12	9500	Orange             	FL	677491	282686	2350754	28513955	-81322127
12	9700	Osceola            	FL	107728	47959	3424037	28058084	-81146851
12	9900	Palm Beach         	FL	863518	461665	5268925	26641412	-80437015
12	10100	Pasco              	FL	281131	148965	1929533	28300958	-82438570
12	10300	Pinellas           	FL	851659	458341	725604	27902616	-82738949
12	10500	Polk               	FL	405382	186225	4856063	27959784	-81700070
12	10700	Putnam             	FL	65070	31840	1870428	29605267	-81740382
12	11300	Santa Rosa         	FL	81608	32831	2630972	30696031	-87016380
12	11500	Sarasota           	FL	277776	157055	1480842	27194506	-82369354
12	11700	Seminole           	FL	287529	117845	798295	28708658	-81227100
12	10900	St. Johns          	FL	83829	40712	1577425	29907781	-81406762
12	11100	St. Lucie          	FL	150171	73843	1482752	27378077	-80444473
12	11900	Sumter             	FL	31577	15298	1413303	28708136	-82079177
12	12100	Suwannee           	FL	26780	11699	1781094	30186710	-82993463
12	12300	Taylor             	FL	17111	7908	2698645	30018776	-83615892
12	12500	Union              	FL	10252	2975	622373	30042652	-82374033
12	12700	Volusia            	FL	370712	180972	2864221	29067589	-81138499
12	12900	Wakulla            	FL	14202	6587	1571339	30152673	-84381252
12	13100	Walton             	FL	27760	18728	2739369	30614519	-86170814
12	13300	Washington         	FL	16919	7703	1501888	30613161	-85670694
13	100	Appling            	GA	15744	6629	1317727	31753389	-82285580
13	300	Atkinson           	GA	6213	2449	875686	31294857	-82874736
13	500	Bacon              	GA	9566	3859	738084	31556775	-82451152
13	700	Baker              	GA	3615	1499	889006	31330837	-84454013
13	900	Baldwin            	GA	39530	14200	669494	33071932	-83250851
13	1100	Banks              	GA	10308	4193	605245	34352696	-83500539
13	1300	Barrow             	GA	29721	11812	420150	33993471	-83711811
13	1500	Bartow             	GA	55911	21757	1191071	34238402	-84839182
13	1700	Ben Hill           	GA	16245	6875	652254	31759395	-83219755
13	1900	Berrien            	GA	14153	5858	1171931	31274242	-83231790
13	2100	Bibb               	GA	149967	61462	647503	32804510	-83699153
13	2300	Bleckley           	GA	10430	4268	563102	32435521	-83331211
13	2500	Brantley           	GA	11077	4404	1151070	31197017	-81983226
13	2700	Brooks             	GA	15398	5972	1278746	30846525	-83577257
13	2900	Bryan              	GA	15438	5549	1144142	32020373	-81437630
13	3100	Bulloch            	GA	43125	16541	1767921	32390705	-81743912
13	3300	Burke              	GA	20579	8329	2151144	33058372	-81999393
13	3500	Butts              	GA	15326	5536	483337	33288338	-83957134
13	3700	Calhoun            	GA	5013	2061	725691	31527925	-84618910
13	3900	Camden             	GA	30167	10885	1631564	30918946	-81637831
13	4300	Candler            	GA	7744	3203	639722	32401337	-82074981
13	4500	Carroll            	GA	71422	27736	1293113	33582760	-85079029
13	4700	Catoosa            	GA	42464	16762	420184	34902216	-85136429
13	4900	Charlton           	GA	8496	3222	2022306	30778898	-82139931
13	5100	Chatham            	GA	216935	91178	1140600	31968396	-81085242
13	5300	Chattahoochee      	GA	16934	3108	644381	32347545	-84787802
13	5500	Chattooga          	GA	22242	9142	812620	34476634	-85345765
13	5700	Cherokee           	GA	90204	33840	1097512	34244526	-84474300
13	5900	Clarke             	GA	87594	35971	312951	33951967	-83366020
13	6100	Clay               	GA	3364	1586	505623	31621085	-84992951
13	6300	Clayton            	GA	182052	71926	369455	33542550	-84357031
13	6500	Clinch             	GA	6160	2423	2096222	30917580	-82702842
13	6700	Cobb               	GA	447745	189872	881170	33941761	-84577005
13	6900	Coffee             	GA	29592	11650	1551734	31546929	-82851471
13	7100	Colquitt           	GA	36645	14350	1430489	31186498	-83768332
13	7300	Columbia           	GA	66031	23745	751190	33548579	-82261233
13	7500	Cook               	GA	13456	5340	593392	31154784	-83430769
13	7700	Coweta             	GA	53853	20413	1147522	33352613	-84762598
13	7900	Crawford           	GA	8991	3279	842109	32709817	-83979679
13	8100	Crisp              	GA	20011	8318	709234	31925397	-83771586
13	8300	Dade               	GA	13147	4998	450460	34854620	-85504714
13	8500	Dawson             	GA	9429	4321	546614	34440009	-84171192
13	8700	Decatur            	GA	25511	10120	1545804	30878764	-84579633
13	8900	DeKalb             	GA	545837	231520	694875	33770950	-84227007
13	9100	Dodge              	GA	17607	7094	1296675	32173280	-83166242
13	9300	Dooly              	GA	9901	4003	1017784	32160916	-83798374
13	9500	Dougherty          	GA	96311	37373	853907	31538320	-84215784
13	9700	Douglas            	GA	71120	26495	516223	33700300	-84767287
13	9900	Early              	GA	11854	4714	1324192	31330419	-84909200
13	10100	Echols             	GA	2334	942	1046763	30716702	-82898962
13	10300	Effingham          	GA	25687	9492	1241873	32370383	-81343480
13	10500	Elbert             	GA	18949	7891	955171	34114998	-82839768
13	10700	Emanuel            	GA	20546	8344	1776645	32586937	-82304173
13	10900	Evans              	GA	8724	3512	479210	32158071	-81890873
13	11100	Fannin             	GA	15992	8363	999141	34864145	-84319284
13	11300	Fayette            	GA	62415	22428	511252	33414957	-84492885
13	11500	Floyd              	GA	81251	32821	1329404	34263300	-85215026
