year,ProdWage,UnskillWage,GDPpc,RelWage,Urbanization,Age20_29,RelDebt,Distrust,elite,epsilon,PSI
1945,1.06,813.0,1593.68,1.330254505295919,60.73969821,17.032527368596593,116.00098089686098,,,,
1946,1.13,900.0,1571.55,1.4380706945372403,61.55440377,16.901522998684353,121.2520698469847,,,,
1947,1.3,1017.0,1693.66,1.5351369224047329,62.30765695,16.55034431626184,105.81170958623515,,,,
1948,1.41,1087.0,1835.22,1.5366005165593226,62.95554143,16.33270705050413,93.75408639910815,,,,
1949,1.46,1131.0,1791.03,1.6303467836942989,63.47905326,16.05547304601244,94.59968559131737,,,,
1950,1.55,1184.0,1936.26,1.601024655779699,63.88112695,15.78890409879091,87.62592863466122,,,,
1951,1.72,1283.0,2199.15,1.564240729372712,64.24107288,15.397324404389318,75.2201523135868,,,,
1952,1.83,1358.0,2282.83,1.6032731302812737,64.70958382,14.939400609599046,72.31514898130058,,,,
1953,1.94,1450.0,2377.09,1.632247832433774,65.28916688,14.479554886414759,72.54630110730294,,,,
1954,1.97,1521.0,2342.49,1.6819708942193992,65.9626856,13.994580270685162,73.27807949526813,,,,
1955,2.05,1584.0,2509.15,1.6340194886714623,66.69075887,13.588905961158527,67.70401572220884,,,,
1956,2.16,1662.0,2600.15,1.6614426090802452,67.41878104,13.225594512865786,63.24360493827161,,,,
1957,2.24,1745.0,2692.18,1.6640789248861518,68.09216147,12.874901306300762,59.61782353068749,,,,
1958,2.39,1830.0,2682.88,1.781667461832061,68.67155552,12.595907578865337,60.55702559931507,28.861406900000006,,,
1959,2.45,1903.0,2860.05,1.7132567612454326,69.13986634,12.38034530443937,57.40184992104224,29.429347739999997,,,
1960,2.54,1976.0,2912.15,1.7444156379307385,69.4996298,12.215454998079993,55.132373708206686,30.053954270000006,,,
1961,2.6,2047.0,2965.03,1.753776521654081,69.73187327,12.168398272100598,54.36284162995595,30.68988865,,,
1962,2.71,2114.0,3138.97,1.726681045056181,70.03417026,12.231490725117999,51.81322870070001,31.288487900000007,,,
1963,2.83,2181.0,3263.6,1.7342811619070966,70.40814282,12.517036537562385,50.07232843962447,31.811734979999997,,,
1964,2.89,2245.0,3457.57,1.6716942824006455,70.84273871,12.734729773767764,47.911463637733576,32.24032608,,,
1965,3.0,2314.0,3700.08,1.6215865602905883,71.31255096,12.911099559505946,44.625797524683634,32.573076529999994,,,
1966,3.14,2399.0,4006.63,1.5674020311333963,71.78234519,13.081060127196158,41.8076995556684,34.849735679999995,,,
1967,3.29,2515.0,4188.13,1.5711069140642722,72.2168923,13.759178758635562,41.40593581210956,37.23202606,,,
1968,3.52,2660.0,4532.12,1.5533569278836394,72.59079819,14.242744907363331,39.35245383600791,39.53622994,,,
1969,3.72,2822.0,4855.58,1.5322577323409357,72.8930246,14.688533445732897,37.40609318366518,41.60139644,,,
1970,3.93,3021.0,5062.68,1.5525373912631253,73.1252037,15.087991215347953,37.480343224501596,44.09946664,,,
1971,4.26,3265.0,5425.34,1.5704084905277826,73.17525198,15.506251575978443,37.64030546680866,46.99573017,,,
1972,4.59,3499.0,5896.9,1.55675015686208,73.24039006,15.90957600858951,36.29518265611116,50.11854134,,,
1973,4.95,3734.0,6522.16,1.5179020447213807,73.32096214,16.189827389319973,33.99392603631628,53.23280581,,,
1974,5.44,4008.5,7010.35,1.5519909847582503,73.41458096,16.598490536026066,32.855285095031675,56.10594473,,,
1975,6.02,4353.57,7582.61,1.5878437635589857,73.51576839,17.042481275651244,35.21090553825487,58.57240905,,,
1976,6.53,4768.12,8366.42,1.5610021968775174,73.61693373,17.547827285327244,35.81848076290694,59.82956374,,,
1977,7.15,5150.13,9215.62,1.5517132867891688,73.71049274,17.60661834274222,35.41416678981331,61.22127522,,,
1978,7.77,5569.88,10303.24,1.508263420050392,73.79098309,17.80400611372187,34.406094690034,62.64814727,,,
1979,8.34,6041.5,11382.19,1.4654473348274804,73.85603464,17.98412762093643,32.98399812660995,64.00048914999999,,,
1980,9.12,6649.9,12243.22,1.4898041528290762,73.90600401,18.171995671842495,33.36358093325204,65.19000898,,,
1981,10.0,7208.77,13594.31,1.4712037609852946,74.01460745,18.326334574061843,32.9003773826276,64.76804315999999,,,
1982,10.8,7588.43,14009.25,1.5418384281813802,74.15584402,18.397841988577913,36.79678470429116,64.29684927,,,
