%        Coordinates of R.A.E. 1004 Airfoil     Duane Knill 218-80-5447 
  86.00000  86.00000 
% Upper Surface Coordinates 
   0.00000   0.00000 
   0.00100   0.00344  
   0.00200   0.00486 
   0.00300   0.00595 
   0.00400   0.00687 
   0.00500   0.00768 
   0.00600   0.00840 
   0.00700   0.00907 
   0.00750   0.00939 
   0.00800   0.00969 
   0.00900   0.01027 
   0.01000   0.01082 
   0.01200   0.01184 
   0.01250   0.01208 
   0.01400   0.01278 
   0.01600   0.01364 
   0.01800   0.01445 
   0.02000   0.01522 
   0.02500   0.01696 
   0.03000   0.01852 
   0.03500   0.01995 
   0.04000   0.02126 
   0.05000   0.02362 
   0.06000   0.02571 
   0.07000   0.02759 
   0.07500   0.02847 
   0.08000   0.02931 
   0.09000   0.03088 
   0.10000   0.03234 
   0.12000   0.03495 
   0.14000   0.03722 
   0.15000   0.03825 
   0.16000   0.03922 
   0.18000   0.04099 
   0.20000   0.04256 
   0.22000   0.04394 
   0.24000   0.04515 
   0.25000   0.04570 
   0.26000   0.04621 
   0.28000   0.04712 
   0.30000   0.04791 
   0.32000   0.04856 
   0.34000   0.04908 
   0.35000   0.04930 
   0.36000   0.04949 
   0.38000   0.04978 
   0.40000   0.04995 
   0.42000   0.05000 
   0.44000   0.04994 
   0.45000   0.04986 
   0.46000   0.04976 
   0.48000   0.04945 
   0.50000   0.04903 
   0.52000   0.04847 
   0.54000   0.04777 
   0.55000   0.04736 
   0.56000   0.04692 
   0.58000   0.04589 
   0.60000   0.04465 
   0.62000   0.04311 
   0.64000   0.04137 
   0.65000   0.04044 
   0.66000   0.03947 
   0.68000   0.03745 
   0.70000   0.03533 
   0.72000   0.03313 
   0.74000   0.03086 
   0.75000   0.02971 
   0.76000   0.02855 
   0.78000   0.02619 
   0.80000   0.02382 
   0.82000   0.02144 
   0.84000   0.01906 
   0.85000   0.01786 
   0.86000   0.01667 
   0.88000   0.01429 
   0.90000   0.01191 
   0.92000   0.00953 
   0.92500   0.00893 
   0.94000   0.00715 
   0.95000   0.00596 
   0.96000   0.00476 
   0.97500   0.00298 
   0.98000   0.00238 
   0.98750   0.00149 
   1.00000   0.00000 
%  Lower Surface Coordinates 
   0.00000   0.00000 
   0.00100  -0.00344 
   0.00200  -0.00486 
   0.00300  -0.00595 
   0.00400  -0.00687 
   0.00500  -0.00768 
   0.00600  -0.00840 
   0.00700  -0.00907 
   0.00750  -0.00939 
   0.00800  -0.00969 
   0.00900  -0.01027 
   0.01000  -0.01082 
   0.01200  -0.01184 
   0.01250  -0.01208 
   0.01400  -0.01278 
   0.01600  -0.01364 
   0.01800  -0.01445 
   0.02000  -0.01522 
   0.02500  -0.01696 
   0.03000  -0.01852 
   0.03500  -0.01995 
   0.04000  -0.02126 
   0.05000  -0.02362 
   0.06000  -0.02571 
   0.07000  -0.02759 
   0.07500  -0.02847 
   0.08000  -0.02931 
   0.09000  -0.03088 
   0.10000  -0.03234 
   0.12000  -0.03495 
   0.14000  -0.03722 
   0.15000  -0.03825 
   0.16000  -0.03922 
   0.18000  -0.04099 
   0.20000  -0.04256 
   0.22000  -0.04394 
   0.24000  -0.04515 
   0.25000  -0.04570 
   0.26000  -0.04621 
   0.28000  -0.04712 
   0.30000  -0.04791 
   0.32000  -0.04856 
   0.34000  -0.04908 
   0.35000  -0.04930 
   0.36000  -0.04949 
   0.38000  -0.04978 
   0.40000  -0.04995 
   0.42000  -0.05000 
   0.44000  -0.04994 
   0.45000  -0.04986 
   0.46000  -0.04976 
   0.48000  -0.04945 
   0.50000  -0.04903 
   0.52000  -0.04847 
   0.54000  -0.04777 
   0.55000  -0.04736 
   0.56000  -0.04692 
   0.58000  -0.04589 
   0.60000  -0.04465 
   0.62000  -0.04311 
   0.64000  -0.04137 
   0.65000  -0.04044 
   0.66000  -0.03947 
   0.68000  -0.03745 
   0.70000  -0.03533 
   0.72000  -0.03313 
   0.74000  -0.03086 
   0.75000  -0.02971 
   0.76000  -0.02855 
   0.78000  -0.02619 
   0.80000  -0.02382 
   0.82000  -0.02144 
   0.84000  -0.01906 
   0.85000  -0.01786 
   0.86000  -0.01667 
   0.88000  -0.01429 
   0.90000  -0.01191 
   0.92000  -0.00953 
   0.92500  -0.00893 
   0.94000  -0.00715 
   0.95000  -0.00596 
   0.96000  -0.00476 
   0.97500  -0.00298 
   0.98000  -0.00238 
   0.98750  -0.00149 
   1.00000   0.00000 
