% AIRFOIL: SC(2)-1006,    ANTHONY A. GIUNTA 
 107.00000 107.00000 
% UPPER SURFACE 
   0.00000   0.00000 
   0.00200   0.00420 
   0.00500   0.00640 
   0.01000   0.00870 
   0.02000   0.01170 
   0.03000   0.01400 
   0.04000   0.01580 
   0.05000   0.01740 
   0.06000   0.01880 
   0.07000   0.02000 
   0.08000   0.02110 
   0.09000   0.02210 
   0.10000   0.02300 
   0.11000   0.02380 
   0.12000   0.02450 
   0.13000   0.02520 
   0.14000   0.02580 
   0.15000   0.02640 
   0.16000   0.02690 
   0.17000   0.02740 
   0.18000   0.02780 
   0.19000   0.02820 
   0.20000   0.02850 
   0.21000   0.02880 
   0.22000   0.02910 
   0.23000   0.02930 
   0.24000   0.02950 
   0.25000   0.02970 
   0.26000   0.02980 
   0.27000   0.02990 
   0.28000   0.03000 
   0.29000   0.03000 
   0.30000   0.03000 
   0.31000   0.03000 
   0.32000   0.03000 
   0.33000   0.02990 
   0.34000   0.02980 
   0.35000   0.02970 
   0.36000   0.02960 
   0.37000   0.02940 
   0.38000   0.02920 
   0.39000   0.02900 
   0.40000   0.02880 
   0.41000   0.02860 
   0.42000   0.02830 
   0.43000   0.02800 
   0.44000   0.02770 
   0.45000   0.02740 
   0.46000   0.02700 
   0.47000   0.02660 
   0.48000   0.02620 
   0.49000   0.02580 
   0.50000   0.02540 
   0.51000   0.02490 
   0.52000   0.02440 
   0.53000   0.02390 
   0.54000   0.02340 
   0.55000   0.02290 
   0.56000   0.02230 
   0.57000   0.02170 
   0.58000   0.02110 
   0.59000   0.02050 
   0.60000   0.01980 
   0.61000   0.01910 
   0.62000   0.01840 
   0.63000   0.01770 
   0.64000   0.01690 
   0.65000   0.01610 
   0.66000   0.01530 
   0.67000   0.01440 
   0.68000   0.01350 
   0.69000   0.01260 
   0.70000   0.01170 
   0.71000   0.01070 
   0.72000   0.00970 
   0.73000   0.00870 
   0.74000   0.00760 
   0.75000   0.00650 
   0.76000   0.00530 
   0.77000   0.00410 
   0.78000   0.00280 
   0.79000   0.00150 
   0.80000   0.00010 
   0.81000  -0.00140 
   0.82000  -0.00300 
   0.83000  -0.00460 
   0.84000  -0.00630 
   0.85000  -0.00810 
   0.86000  -0.01000 
   0.87000  -0.01200 
   0.88000  -0.01410 
   0.89000  -0.01620 
   0.90000  -0.01840 
   0.91000  -0.02060 
   0.92000  -0.02290 
   0.93000  -0.02530 
   0.94000  -0.02770 
   0.95000  -0.03020 
   0.96000  -0.03280 
   0.97000  -0.03550 
   0.98000  -0.03830 
   0.99000  -0.04120 
   1.00000  -0.04430 
   1.0019e+00  -4.5041e-02
   1.0039e+00  -4.6022e-02
   1.0059e+00  -4.7243e-02
   1.0078e+00  -4.8705e-02
% LOWER SURFACE 
   0.00000   0.00000 
   0.00200  -0.00420 
   0.00500  -0.00640 
   0.01000  -0.00870 
   0.02000  -0.01170 
   0.03000  -0.01400 
   0.04000  -0.01580 
   0.05000  -0.01740 
   0.06000  -0.01870 
   0.07000  -0.01990 
   0.08000  -0.02090 
   0.09000  -0.02180 
   0.10000  -0.02260 
   0.11000  -0.02340 
   0.12000  -0.02410 
   0.13000  -0.02470 
   0.14000  -0.02530 
   0.15000  -0.02590 
   0.16000  -0.02640 
   0.17000  -0.02690 
   0.18000  -0.02730 
   0.19000  -0.02770 
   0.20000  -0.02810 
   0.21000  -0.02840 
   0.22000  -0.02870 
   0.23000  -0.02900 
   0.24000  -0.02920 
   0.25000  -0.02940 
   0.26000  -0.02960 
   0.27000  -0.02970 
   0.28000  -0.02980 
   0.29000  -0.02990 
   0.30000  -0.03000 
   0.31000  -0.03000 
   0.32000  -0.03000 
   0.33000  -0.03000 
   0.34000  -0.03000 
   0.35000  -0.03000 
   0.36000  -0.02990 
   0.37000  -0.02980 
   0.38000  -0.02970 
   0.39000  -0.02960 
   0.40000  -0.02950 
   0.41000  -0.02940 
   0.42000  -0.02930 
   0.43000  -0.02920 
   0.44000  -0.02910 
   0.45000  -0.02900 
   0.46000  -0.02890 
   0.47000  -0.02870 
   0.48000  -0.02850 
   0.49000  -0.02830 
   0.50000  -0.02810 
   0.51000  -0.02790 
   0.52000  -0.02770 
   0.53000  -0.02750 
   0.54000  -0.02730 
   0.55000  -0.02710 
   0.56000  -0.02690 
   0.57000  -0.02670 
   0.58000  -0.02650 
   0.59000  -0.02630 
   0.60000  -0.02610 
   0.61000  -0.02590 
   0.62000  -0.02570 
   0.63000  -0.02550 
   0.64000  -0.02530 
   0.65000  -0.02510 
   0.66000  -0.02490 
   0.67000  -0.02470 
   0.68000  -0.02450 
   0.69000  -0.02430 
   0.70000  -0.02410 
   0.71000  -0.02390 
   0.72000  -0.02370 
   0.73000  -0.02360 
   0.74000  -0.02350 
   0.75000  -0.02340 
   0.76000  -0.02330 
   0.77000  -0.02330 
   0.78000  -0.02330 
   0.79000  -0.02330 
   0.80000  -0.02340 
   0.81000  -0.02350 
   0.82000  -0.02370 
   0.83000  -0.02390 
   0.84000  -0.02420 
   0.85000  -0.02460 
   0.86000  -0.02510 
   0.87000  -0.02570 
   0.88000  -0.02640 
   0.89000  -0.02720 
   0.90000  -0.02810 
   0.91000  -0.02920 
   0.92000  -0.03050 
   0.93000  -0.03200 
   0.94000  -0.03370 
   0.95000  -0.03560 
   0.96000  -0.03770 
   0.97000  -0.04000 
   0.98000  -0.04250 
   0.99000  -0.04520 
   1.00000  -0.04820 
   1.0019e+00  -4.8687e-02
   1.0039e+00  -4.8933e-02
   1.0059e+00  -4.8939e-02
   1.0078e+00  -4.8705e-02

