%NACA 64-206
       26.       26.
%
  0.000000  0.000000
  0.004590  0.005420
  0.007040  0.006640
  0.011980  0.008590
  0.024400  0.012080
  0.049340  0.017190
  0.074320  0.021150
  0.099330  0.024440
  0.149370  0.029700
  0.199430  0.033670
  0.249520  0.036670
  0.299610  0.038790
  0.349710  0.040110
  0.399810  0.040660
  0.449910  0.040140
  0.500000  0.038780
  0.550080  0.036700
  0.600150  0.034020
  0.650200  0.030800
  0.700230  0.027120
  0.750250  0.023070
  0.800240  0.018680
  0.850200  0.014100
  0.900150  0.009400
  0.950070  0.004730
  1.000000  0.000000
%
  0.000000  0.000000
  0.005410 -0.004420
  0.007960 -0.005240
  0.013020 -0.006450
  0.025600 -0.008360
  0.050660 -0.010870
  0.075680 -0.012670
  0.100670 -0.014100
  0.150630 -0.016240
  0.200570 -0.017750
  0.250480 -0.018770
  0.300390 -0.019350
  0.350290 -0.019510
  0.400190 -0.019240
  0.450090 -0.018240
  0.500000 -0.016720
  0.549920 -0.014800
  0.599850 -0.012600
  0.649800 -0.010200
  0.699770 -0.007680
  0.749750 -0.005170
  0.799760 -0.002760
  0.849800 -0.000640
  0.899850  0.000940
  0.949930  0.001590
  1.000000  0.000000
