Treatment,Hand Vol Chg
Bath,10
Exercise,0
Bath,10
Bath,5
Bath,¥
Exercise,4
Bath+Exercise,4
Exercise,2
Bath,-4
Bath,8
Bath+Exercise,0
Bath,0
Exercise,-1
Bath,¥
Bath+Exercise,7
Exercise,5
Bath+Exercise,6
Bath,6
Bath+Exercise,10
Exercise,-10
Exercise,0
Bath,-4
Exercise,¥
Bath+Exercise,20
Exercise,-12
Bath+Exercise,11
Bath,10
Exercise,-7
Bath+Exercise,15
Bath+Exercise,-2
Bath,0
Bath,-5
Bath,-9
Bath+Exercise,9
Exercise,¥
Exercise,¥
Bath+Exercise,¥
Bath,-3
Bath,¥
Bath+Exercise,0
Bath+Exercise,9
Exercise,-1
Bath,0
Bath,8
Bath+Exercise,14
Bath,-5
Exercise,0
Bath,20
Exercise,¥
Bath+Exercise,20
Bath+Exercise,0
Exercise,¥
Bath,¥
Bath,13
Bath+Exercise,5
Bath+Exercise,4
Bath+Exercise,11
Exercise,¥
Bath+Exercise,¥
Exercise,5
Bath,11
Bath,¥
Bath,2
Bath+Exercise,21
Bath+Exercise,5
Bath,¥
Bath+Exercise,¥
Exercise,¥
Bath+Exercise,¥
Exercise,0
Exercise,0
Bath+Exercise,0
Bath+Exercise,0
Bath,14
Bath+Exercise,15
Bath,13
,¥
,¥
