Cell #:,Flagellar length 1,Flagellar length 2
1,21.04,
2,16.55,22.31
3,9,
4,38.65,27.21
5,21.46,
6,24.3,
7,20.33,13.53
8,27.45,
9,18.06,15.39
10,23.68,24.27
11,19.17,
12,11.37,16.04
13,18.26,
14,25.38,25.09
15,3.65,4.42
16,19.95,14.88
17,15.08,6.01
18,26.34,
19,25.01,
20,20.09,
21,7.79,
22,24.22,
23,22.01,
24,25.49,
25,23.78,
26,21.22,
27,27.94,23.9
28,18.15,
29,30.07,
30,24.4,
31,27.66,25.95
32,30.11,
33,25.95,24.23
34,15.05,
35,26.08,
36,19.51,
37,15.78,18.46
38,23.17,
39,17.72,15.82
40,21.11,21.9
41,22.06,16.84
42,26.22,
43,17.54,17.62
44,15.38,10.74
45,20.55,
46,11.02,
47,17.83,16.53
48,15.15,
49,8.53,8.68
50,28.43,26.35
51,23.02,22.98
52,8.83,8.22
53,23.68,15.61
54,24.2,26.44
55,15.5,15.7
56,20.63,24.46
57,12.7,17.91
58,17.33,
59,26.8,
60,20.71,20.17
61,23.35,28.73
