Block,Trt,Flume,Fish,WeightGain
1,  Control ,1, L< ,1.1
1,  Control ,1, LF ,1.3
1,  Control ,1, LR ,1.9
1,  Control ,1, RR ,0.9
1,  Control ,1, RV ,2.1
1,  UVAB ,2, L< ,1.8
1,  UVAB ,2, LF ,1.7
1,  UVAB ,2, LR ,1.8
1,  UVAB ,2, RF ,2
1,  UVAB ,2, RR ,1.8
1,  UVA ,3, LF ,1.2
1,  UVA ,3, LR ,2.7
1,  UVA ,3, RF ,3.2
1,  UVA ,3, RR ,1.7
1,  UVA ,3, RV ,2.2
2,  Control ,4, LF ,3.5
2,  Control ,4, LR ,3
2,  Control ,4, RF ,3.8
2,  Control ,4, RR ,1.7
2,  Control ,4, RV ,2.8
2,  UVAB ,5, LF ,0.6
2,  UVAB ,5, LR ,0.4
2,  UVAB ,5, RF ,0.5
2,  UVAB ,5, RR ,1.2
2,  UVAB ,5, RV ,0.4
2,  UVA ,6, LF ,1.4
2,  UVA ,6, LR ,2.1
2,  UVA ,6, RF ,0.9
2,  UVA ,6, RR ,2.4
2,  UVA ,6, RV ,2.1
3,  Control ,7, LF ,4
3,  Control ,7, LR ,4.6
3,  Control ,7, RF ,2.6
3,  Control ,7, RR ,2.7
3,  Control ,7, RV ,4.7
3,  UVAB ,8, L< ,1.2
3,  UVAB ,8, LF ,1.8
3,  UVAB ,8, LR ,1.1
3,  UVAB ,8, RF ,1
3,  UVAB ,8, RR ,1.5
3,  UVA ,9, L< ,2.9
3,  UVA ,9, LF ,3
3,  UVA ,9, LR ,3.1
3,  UVA ,9, RF ,3.2
3,  UVA ,9, RR ,3.6
