Stream,slope,slope-class,density
1,0.7,low,15
1,4,high,21
2,2.4,low,11
2,6,high,3.1
3,0.7,low,5.9
3,2.6,high,6.4
4,1.3,low,12.2
4,4,high,17.6
5,0.6,low,6.2
5,4.4,high,7
6,1.3,low,39.8
6,3.2,high,25
7,2,low,6.5
7,4.2,high,11.2
8,1.3,low,9.6
8,4.2,high,17.5
9,2,low,7.3
9,3.6,high,10
10,0.7,low,11.3
10,3.5,high,21
11,2.3,low,12.1
11,6,high,12.1
12,2.5,low,13.2
12,4.2,high,15
13,2.3,low,5
13,6,high,5
14,1.2,low,10.2
14,2.9,high,6
15,0.7,low,8.5
15,2.9,high,7
16,1.1,low,5.8
16,3,high,5
17,2.2,low,5.1
17,5,high,5
18,0.7,low,65.4
18,3.2,high,55
19,0.7,low,13.2
19,3,high,15
20,0.3,low,7.1
20,3.2,high,12
21,2.3,low,44.8
21,7,high,48
22,1.8,low,16
22,6,high,20
23,2.2,low,7.2
23,6,high,10.1
