Date,TEOM,Reference 
2003.06.05,8.1,10.6
2003.06.08,6.5,9
2003.06.11,3.2,4.6
2003.06.14,2.2,3.7
2003.06.17,5.8,7.9
2003.06.20,1.4,4.4
2003.06.23,1.8,2.8
2003.06.26,4.5,6.5
2003.06.29,4.6,5.8
2003.07.02,3.3,3.6
2003.07.05,1.6,3.7
2003.07.08,7.1,7.2
2003.07.11,7.7,8.6
2003.07.14,4.3,4.4
2003.07.17,4.6,6.4
2003.07.20,7.2,8.5
2003.07.23,8.8,10.5
2003.07.26,8.1,9
2003.07.29,11.2,10.4
2003.08.01,19.4,21
2003.08.07,5.9,5.2
2003.08.10,11.9,12.6
2003.08.13,7.2,8.4
2003.08.16,48.2,46.2
2003.08.19,49.3,51.2
2003.08.22,53.3,54.5
2003.08.25,56.8,57.2
2003.08.28,4.5,7.4
2003.08.31,27.8,26.1
2003.09.03,34.3,33
2003.09.06,41.5,42.1
2003.09.24,5.8,9.5
2003.09.27,5.7,8
2003.09.30,9.1,9.8
2003.10.03,10.5,13.9
2003.10.06,10.9,15.6
2003.10.09,3.5,5.6
2003.10.12,4.1,6.3
2003.10.15,5.7,10.1
2003.10.18,15.5,20.2
2003.10.21,5.4,8.9
2003.10.24,11.7,19
2003.10.27,14.9,23.3
2003.10.30,3.9,7.5
2003.11.02,12.9,21.2
2003.11.05,18.9,33.4
2003.11.08,23.6,35.9
2003.11.11,19,30.2
2003.11.14,18.5,28.2
2003.11.17,11.1,18.4
2003.11.20,11.6,20.1
2003.11.23,9.4,17.9
2003.11.26,25.6,42.8
2003.11.29,6.9,11.2
2003.12.02,13.2,25.6
2003.12.05,10.2,19.9
2003.12.08,17.6,31.6
2003.12.11,6.7,14.1
2003.12.14,16.2,26.5
2003.12.17,8.3,13.5
2004.01.13,6.8,13.8
2004.01.16,9.2,17.3
2004.01.19,16.5,32.6
2004.01.22,4.3,11.6
2004.01.25,6.1,10
2004.01.28,10.1,14.4
2004.01.31,14,28.1
2004.02.06,19.4,35
2004.02.09,15.1,25.2
2004.02.12,16.8,32.9
2004.02.15,15.9,28.5
2004.02.18,9.8,18.5
2004.02.21,9.1,17.2
2004.02.24,17.1,31.9
2004.02.27,12.1,21.7
2004.03.01,8.8,14.1
2004.03.07,3.2,5.6
2004.03.10,10.9,15.3
2004.03.13,7.1,10.8
2004.03.16,7.4,13.8
2004.03.19,10.4,14
2004.03.22,10.6,16.1
2004.03.25,5,8.4
2004.03.28,6.4,10.3
2004.03.31,5.3,6.6
2004.04.03,6.5,9.7
2004.04.09,6.4,9.7
2004.04.12,7,8.8
2004.04.15,2.3,4.6
2004.04.18,4.2,5.7
2004.04.21,4.7,5.7
2004.04.24,3.7,4.1
2004.04.27,4.1,5
2004.04.30,7.3,7.3
2004.05.03,3.5,5
2004.05.06,2.5,2.8
2004.05.09,2.3,2.7
2004.07.02,6,4.3
2004.07.05,3.3,2.4
2004.07.08,1.6,2
2004.07.11,1.2,5.7
2004.07.14,5.4,8.3
2004.07.17,8.8,3.5
2004.07.20,2.2,10
2004.07.23,8.3,12.5
2004.07.26,10.5,17
2004.08.01,25.3,24.7
2004.08.04,14.7,10.5
2004.08.07,2.7,3.1
2004.08.10,6.5,7.2
2004.08.19,20.1,13.6
2004.08.25,4.1,4.2
2004.08.28,2.5,1.5
2004.08.31,4.7,6.3
2004.09.03,3.2,4
2004.09.15,1.8,2.6
2004.09.18,2.6,4.7
2004.09.21,4.7,6.2
2004.09.24,5.6,8
2004.09.27,7.1,10
2004.09.30,4.8,7.7
2004.10.03,9.5,13.3
2004.10.06,10.1,13
2004.10.09,3.8,5
2004.10.12,5,7.3
2004.10.15,2.3,5.4
2004.10.18,7.5,10.1
2004.10.21,8.1,11
2004.10.24,6.6,13.6
2004.10.27,14,18.2
2004.10.30,15.9,24.8
2004.11.02,8.4,14.1
2004.11.08,10.8,17.6
2004.11.11,1.4,4.7
2004.11.14,6.5,10
2004.11.17,11,18.8
2004.11.20,7.7,14.4
2004.11.26,15.4,23.4
2004.11.29,8.9,17.1
2004.12.02,18.3,30.8
2004.12.05,6.2,13.5
2004.12.08,8.3,16.5
2004.12.11,9.6,15.9
2004.12.14,9.8,17.6
2004.12.17,11.5,21.5
2004.12.20,14,26.1
2004.12.23,9.8,20
2004.12.26,4.9,9.4
2004.12.29,3.7,7.6
2005.01.01,10.2,18.5
2005.01.04,18.6,38.3
2005.01.22,11.1,24.7
2005.01.25,11.8,22.7
2005.01.28,13.1,20.9
2005.01.31,5.1,10.9
2005.02.03,6.2,11.1
2005.02.06,6.5,10
2005.02.09,10.6,20.8
2005.02.12,11.4,23.3
2005.02.15,12.9,18.8
2005.02.18,14,23.4
2005.02.21,21.9,31.7
2005.02.24,17.1,26.4
2005.02.26,8.3,16.3
2005.02.27,11.8,20.1
2005.03.02,16.7,28.9
2005.03.05,12,18.9
2005.03.08,5.3,9.8
2005.03.11,10.9,18.8
2005.03.14,11.3,18.1
2005.03.17,8.5,11
2005.04.04,12,10.9
2005.04.07,7.8,7.1
2005.04.16,2.3,4.8
2005.04.19,5.5,3.9
2005.04.22,8,6.7
2005.04.25,7.3,10
2005.04.28,3.5,9
2005.05.01,4.5,4.5
2005.05.04,5.1,1.8
2005.05.07,2.5,5.4
2005.05.28,6.1,6.7
2005.05.31,9.7,12
2005.06.03,5.2,5
2005.06.06,0.9,2.1
2005.06.09,4.4,6.2
2005.06.12,2.3,2.7
2005.06.15,2.3,2.2
2005.06.18,1.7,2.6
2005.06.21,6.7,6.9
2005.06.24,3.4,3.8
2005.06.27,4.2,4.6
2005.06.30,4.3,5.5
2005.07.03,2.7,5.2
2005.07.06,3.6,4.2
2005.07.09,1.3,1.9
2005.07.12,2.8,6.3
