Year,Site,Density,Sample
1,Control Site,2.314678174,1
1,Project Site,1.82057953,2
1,Control Site,2.189274252,3
1,Project Site,1.797452605,4
1,Control Site,2.31682954,5
1,Project Site,1.718238972,6
1,Control Site,2.330460531,7
1,Project Site,1.860053529,8
1,Control Site,2.403180559,9
1,Project Site,1.716038627,10
2,Control Site,2.454435817,11
2,Project Site,1.653188754,12
2,Control Site,2.311126497,13
2,Project Site,1.516814162,14
2,Control Site,2.237723891,15
2,Project Site,1.710015736,16
2,Control Site,2.212108753,17
2,Project Site,1.539972142,18
2,Control Site,2.126026454,19
2,Project Site,1.483882541,20
3,Control Site,2.338560029,21
3,Project Site,1.728561052,22
3,Control Site,2.312698902,23
3,Project Site,1.74392681,24
3,Control Site,2.174910019,25
3,Project Site,1.478658367,26
3,Control Site,2.327723231,27
3,Project Site,1.787877281,28
3,Control Site,2.212479647,29
3,Project Site,1.607457494,30
4,Control Site,1.877938325,31
4,Project Site,1.106506817,32
4,Control Site,1.85317874,33
4,Project Site,1.191044298,34
4,Control Site,1.914465644,35
4,Project Site,1.230112661,36
4,Control Site,1.989502997,37
4,Project Site,1.227663642,38
4,Control Site,1.980347922,39
4,Project Site,1.141674991,40
5,Control Site,2.353862187,41
5,Project Site,1.454197302,42
5,Control Site,2.325563545,43
5,Project Site,1.28731353,44
5,Control Site,2.202122739,45
5,Project Site,1.14090879,46
5,Control Site,2.411148256,47
5,Project Site,1.334760514,48
5,Control Site,2.177530071,49
5,Project Site,1.269583439,50
6,Control Site,1.676937205,51
6,Project Site,0.627967882,52
6,Control Site,1.734020963,53
6,Project Site,0.73686642,54
6,Control Site,1.963391604,55
6,Project Site,0.905423349,56
6,Control Site,1.673107887,57
6,Project Site,0.794856944,58
6,Control Site,2.125380502,59
6,Project Site,0.658320912,60
7,Control Site,1.744926557,61
7,Project Site,0.478402286,62
7,Control Site,1.821126094,63
7,Project Site,0.344602062,64
7,Control Site,1.707608353,65
7,Project Site,0.453307276,66
7,Control Site,1.68938235,67
7,Project Site,0.630168662,68
7,Control Site,1.738683984,69
7,Project Site,0.509088927,70
