http://www.esapubs.org/archive/ecol/E085/050/suppl-1.htm#anchorFilelist

Response variable: log-transformed zooplankton biomasses of two size classes (original units: mg/m3 ash-free dry mass).
Spatial variable: coordinate (km) of the sampling site along the transect.
Environmental variables: dissolved oxygen (mg/L), salinity (psu), wind speed (m/s), phytoplankton biomass (log-transformed, original units: µg/L), turbidity (NTU), swell height (m) and 14 binary variables coding for habitat classes.



	Y (km)	Ln(Zoo 190-600)	Ln (Zoo>600)	Diss_Oxygen	Salinity	Wind speed	Phytoplankton biomass	Turbidity	Swell height	Bare mud (shallow bottom)	Bare mud (deep bottom)	Sea-grass beds on mud (76-100% coverage)	Sea-grass beds on muddy sand (76-100% coverage)	Sea-grass beds on sand (51-75% coverage)	Sea-grass beds on sand (26-50% coverage)	Sea-grass beds on muddy sand (0-25% coverage)	Cay-Corals	Cay-Sea grasses	Cay-Mixed sea grasses and corals	Bare sand	Inner reef flat	Reef front	Outer slope of barrier reef
Site_01	0.00	1.04416	0.0334	7.70	36.40	3.0	0.3781	1.5	0.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Site_02	0.24	1.98965	0.7159	7.06	36.86	3.4	0.7576	1.6	0.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Site_03	0.36	1.33184	-0.0356	7.91	37.02	5.5	0.5857	1.6	0.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Site_04	0.60	1.10327	0.3514	7.56	36.92	6.7	0.7035	1.2	0.4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Site_05	0.60	0.41871	-0.3624	7.18	36.65	7.0	0.7035	1.2	0.4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Site_06	0.69	1.35841	0.4725	6.89	36.85	6.7	0.5857	1.2	0.4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Site_07	0.97	1.31211	0.4656	7.37	37.06	6.7	0.5212	1.0	0.3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Site_08	1.03	1.40830	1.7589	7.34	37.03	7.0	0.6463	1.0	0.4	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Site_09	1.09	2.36217	0.6704	7.24	36.75	7.0	0.8576	1.5	0.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Site_10	1.12	1.68880	1.5384	6.93	37.06	7.0	0.7576	0.9	0.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
