month,1972,1973,1974,1975,1976,1977,1978,1979,
1,0.07,0.33,0.70,0.08,0.04,0.05,0.14,0.08,
2,0.11,0.24,0.17,    .,    .,    .,0.11,0.04,
3,0.60,0.12,0.16,    .,0.14,0.03,0.02,0.02,
4,0.10,0.08,1.20,0.11,0.05,0.04,0.06,0.01,
5,0.04,0.03,0.12,0.09,0.02,0.04,0.03,0.03,
6,0.05,0.01,0.05,0.05,    .,    .,0.03,    .,
7,0.04,0.04,0.03,0.02,    .,0.06,0.02,0.04,
8,0.05,0.06,0.03,0.05,0.07,0.08,0.06,0.02,
9,0.10,0.09,0.06,0.10,    .,0.08,0.05,    .,
10,0.13,0.13,0.12,    .,0.13,0.09,0.10,0.33,
11,0.14,0.42,    .,0.13,    .,0.47,0.14,    .,
12,0.13,0.15,0.12,0.05,    .,0.30,0.07,    .,
