Year,Period,Stream,quadrat,count
1,Before,1,1,58
1,Before,1,2,62
1,Before,1,3,48
1,Before,1,4,72
1,Before,1,5,41
1,Before,2,1,76
1,Before,2,2,73
1,Before,2,3,
1,Before,2,4,69
1,Before,2,5,66
2,Before,1,1,61
2,Before,1,2,48
2,Before,1,3,60
2,Before,1,4,55
2,Before,1,5,57
2,Before,2,1,64
2,Before,2,2,65
2,Before,2,3,56
2,Before,2,4,51
2,Before,2,5,64
3,Before,1,1,53
3,Before,1,2,38
3,Before,1,3,55
3,Before,1,4,53
3,Before,1,5,
3,Before,2,1,51
3,Before,2,2,60
3,Before,2,3,62
3,Before,2,4,46
3,Before,2,5,64
4,Before,1,1,
4,Before,1,2,40
4,Before,1,3,57
4,Before,1,4,53
4,Before,1,5,
4,Before,2,1,60
4,Before,2,2,73
4,Before,2,3,69
4,Before,2,4,48
4,Before,2,5,46
5,Before,1,1,46
5,Before,1,2,37
5,Before,1,3,40
5,Before,1,4,
5,Before,1,5,42
5,Before,2,1,61
5,Before,2,2,
5,Before,2,3,64
5,Before,2,4,48
5,Before,2,5,36
6,After,1,1,58
6,After,1,2,83
6,After,1,3,74
6,After,1,4,65
6,After,1,5,64
6,After,2,1,65
6,After,2,2,68
6,After,2,3,63
6,After,2,4,85
6,After,2,5,72
7,After,1,1,48
7,After,1,2,61
7,After,1,3,42
7,After,1,4,53
7,After,1,5,56
7,After,2,1,56
7,After,2,2,60
7,After,2,3,56
7,After,2,4,69
7,After,2,5,65
8,After,1,1,53
8,After,1,2,52
8,After,1,3,68
8,After,1,4,63
8,After,1,5,58
8,After,2,1,
8,After,2,2,59
8,After,2,3,87
8,After,2,4,73
8,After,2,5,
9,After,1,1,64
9,After,1,2,74
9,After,1,3,66
9,After,1,4,72
9,After,1,5,63
9,After,2,1,89
9,After,2,2,79
9,After,2,3,69
9,After,2,4,78
9,After,2,5,88
10,After,1,1,63
10,After,1,2,48
10,After,1,3,55
10,After,1,4,
10,After,1,5,59
10,After,2,1,60
10,After,2,2,57
10,After,2,3,73
10,After,2,4,67
10,After,2,5,
