Year,Men,Women
1978,132.2,152.5
1979,131.7,147.6
1980,129.7,145.7
1981,128.2,145.5
1982,129.5,147.2
1983,129,147
1984,134.9,149.5
1985,131.6,148.6
1986,131.1,148.1
1987,131,150.3
1988,128.3,148.1
1989,128,145.5
1990,132.7,150.8
1991,129.5,147.5
1992,129.5,144.7
1993,130.1,146.4
1994,131.4,147.6
1995,131,148.1
1996,129.9,148.3
1997,128.2,148.7
1998,128.8,145.3
1999,129.2,145.1
2000,130.2,145.8
2001,127.7,144.4
2002,128.1,145.9
2003,130.5,142.5
2004,129.5,143.2
2005,129.5,144.7
2006,130,145.1
2007,129.1,143.2
2008,128.7,143.9
