OBS	CONSELEC	GDP
1954		107640.1401
1955		113599.6734
1956		122019.5971
1957		127085.7256
1958		132480.2461
1959		130044.5194
1960		131039.1495
1961		147468.7724
1962		162224.52
1963		177559.0874
1964		186915.8038
1965		198604.3731
1966		212995.1196
1967		222239.7671
1968		236900.675
1969		258002.7754
1970		268956.6222
1971		281460.7236
1972		304397.3879
1973	5124	328106.0129
1974	5597	346540.8928
1975	5784	348419.4609
1976	6292	359930.4532
1977	6557	370149.0007
1978	6933	375562.5337
1979	7402	375720.3245
1980	7748	380606.8698
1981	7806	379935.5312
1982	7865	385885.4402
1983	8245	394450.2263
1984	8622	400237.847
1985	8858	410692.6742
1986	9046	423834.8489
1987	9427	447745.0328
1988	9876	470855.2355
1989	10410	493163.8966
1990	10974	511611.1281
1991	11372	523213.7214
1992	11488.2	526809.9461
1993	11568.8	520681.2276
1994	11999.3	532403.0884
1995	12461.7	546864.6533
1996	12827	565778.6668
1997	13331.1	579267.1313
1998	14290.1	593633.3549
1999	15364.3	609228
2000	16306	630263
2001	17263	656720.8185
2002	17750.7	685016.5019
2003	18963.5	713394.5008
2004	19863.7	742103.0119
2005	20835.4	773911.3196
2006	21540.3	805816.1999
2007	22170.7	832747.7469
2008	22252.8	852753.8305
2009	21037.8	857878.7311
