OBS	AGE	BLACK	BRTHORD	EDUC	EXPER	FEDUC	HOURS	IQ	KWW	MARRIED	MEDUC	SIBS	SOUTH	TENURE	URBAN	WAGE
1	31	0	2	12	11	8	40	93	35	1	8	1	0	2	1	769
2	37	0		18	11	14	50	119	41	1	14	1	0	16	1	808
3	33	0	2	14	11	14	40	108	46	1	14	1	0	9	1	825
4	32	0	3	12	13	12	40	96	32	1	12	4	0	7	1	650
5	34	0	6	11	14	11	40	74	27	1	6	10	0	5	1	562
6	35	1	2	16	14		40	116	43	1	8	1	0	2	1	1400
7	30	0	2	10	13	8	40	91	24	0	8	1	0	0	1	600
8	38	0	3	18	8		40	114	50	1	8	2	0	14	1	1081
9	36	0	3	15	13	5	45	111	37	1	14	2	0	1	0	1154
10	36	0	1	12	16	11	40	95	44	1	12	1	0	16	1	1000
11	38	0	1	18	8	14	43	132	44	1	13	1	0	13	0	930
12	33	0	2	14	9		38	102	45	1	16	1	0	11	0	921
13	30	0		15	4	12	45	125	40	0	12	2	0	3	0	900
14	28	0	1	16	7	10	38	119	24	1	10	3	0	2	1	1318
15	34	0	1	16	9	12	40	118	47	1	12	1	0	9	1	1792
16	35	0	2	10	17	8	50	105	37	1	6	1	0	2	1	958
17	36	0	3	15	6	10	45	109	39	1	12	3	0	9	1	1360
18	38	0	3	11	19	8	40	72	36	1	10	2	0	10	1	850
19	29	0	1	14	4		44	105	29	1	12	3	0	7	1	830
20	31	0	2	12	13		44	101	34	1	8	3	0	7	1	471
21	31	0	1	14	9		40	123	37	1	12	0	0	1	1	1275
22	36	0	1	16	10	12	50	113	49	1	12	2	0	4	1	1615
23	38	0	1	12	14	10	65	95	36	1	10	5	0	3	1	873
24	38	0	1	16	17	12	45	145	50	1	12	2	0	8	1	2137
25	32	0	1	16	12	11	38	114	35	1	11	0	0	7	1	1053
26	29	0	1	16	8	16	60	124	32	1	16	3	0	9	1	1602
27	35	0	1	13	16	8	40	93	40	1	12	2	0	5	1	1188
28	35	0	1	18	11	8	40	115	39	1	8	0	1	1	1	800
29	34	0	1	17	9	12	48	125	41	1	13	3	0	4	1	1417
30	36	0	1	18	8	16	40	128	35	0	16	2	0	13	1	635
31	34	0	1	12	17		40	103	40	1	8	1	0	2	1	1000
32	35	0	1	14	15	12	50	98	41	1	12	1	0	4	1	1424
33	32	0	2	13	12	12	75	108	41	1	12	1	1	2	1	2668
34	38	0	1	18	8	18	75	129	40	1	18	2	0	12	0	666
35	32	0	1	17	8	14	40	132	42	1	17	1	0	9	1	1779
36	31	0	3	13	9		40	92	24	1	8	3	0	10	1	782
37	28	1		14	7	8	35	108	39	1	12	1	0	5	1	1572
38	31	0	1	13	11	12	40	106	35	1	15	0	0	12	1	1274
39	29	0	2	16	9	12	35	105	37	1	13	1	0	2	1	714
40	36	0	1	18	11	12	40	123	46	1	12	1	0	7	0	1081
41	38	0	1	12	21	7	40	108	48	1	8	3	0	11	1	692
42	33	0		17	10	8	38	122	47	1	12	1	0	9	1	1318
43	38	0	3	12	16		45	109	44	1	12	3	0	4	1	1239
44	38	0	3	13	12	9	27	100	40	1	10	3	0	15	1	1027
45	34	0	2	18	12	15	55	125	50	1	14	1	0	12	1	1748
46	35	0	2	14	9		40	122	41	0	12	3	0	15	1	981
47	30	0	1	17	7	12	40	105	34	1	12	3	0	11	1	770
48	33	0		16	11	12	50	94	37	1	12	1	0	5	1	1154
49	34	0	2	12	16		40	102	36	1	12	1	0	5	1	1155
50	38	0	2	13	14	10	60	109	47	1	12	2	0	12	1	808
51	38	0	1	12	22	12	40	105	45	1	12	1	0	14	1	1100
52	37	0	1	18	10	12	40	134	46	1	12	2	1	10	1	1154
53	29	0	1	12	13	9	40	108	32	0	12	7	0	9	1	1749
54	30	0	1	16	11	11	50	104	36	1	12	1	0	8	1	1000
55	29	0	3	12	11		40	112	35	1	12	8	0	1	1	462
56	32	0	1	18	8	8	55	120	49	0	11	1	0	12	1	769
57	31	0	2	16	9	16	50	124	40	0	17	2	0	3	0	875
58	29	0	2	12	12	10	40	103	34	1	12	4	0	7	1	1375
59	30	0	1	17	1	14	45	115	45	1	12	3	0	7	1	1452
60	35	0	2	12	17	8	40	96	33	1	6	1	0	12	1	800
61	36	0	1	17	10	12	55	123	48	1	12	1	0	7	1	1748
62	29	0	4	12	12	8	40	98	34	1	12	3	0	12	1	1151
63	35	0	1	12	18	8	50	96	34	1	12	2	0	13	1	840
64	38	0	1	12	17		45	89	47	1	12	0	0	2	1	978
65	37	0		12	15	7	40	109	43	0		5	0	15	0	963
66	28	0		12	10	11	42	93	20	0	9	8	0	10	1	619
67	33	0	3	12	12	9	60	82	32	1	12	2	0	0	1	442
68	38	0	4	15	12		40	120	45	1	12	3	0	1	0	600
69	32	0	2	12	15		38	122	38	1	12	1	0	15	1	1366
70	33	0	2	18	8	18	48	117	48	1	12	2	0	2	1	1643
71	36	0	2	16	8	8	40	109	44	1	8	1	0	13	1	1455
72	38	0		18	12	16	40	114	55	1	12	2	0	7	1	2310
73	31	0	1	16	10	16	45	126	40	1	12	1	0	11	1	1682
74	33	0	1	12	10	11	40	82	45	1	11	1	0	2	1	1235
75	32	0	1	16	11	9	45	119	45	1	12	3	0	4	1	855
76	35	0	2	16	6	6	42	104	37	1	12	2	0	8	1	1072
77	35	0	4	15	8	11	40	115	49	1		3	0	15	1	1040
78	36	0	2	12	17	12	50	97	45	1	12	1	0	15	1	1000
79	31	0		15	8	12	40	105	27	1	14	3	0	2	0	675
80	30	0	2	12	14	7	37	100	32	1	7	1	0	1	1	1100
81	31	0	1	12	5	10	50	114	41	1	12	2	0	14	1	996
82	36	0	6	10	17		40	73	28	1		5	0	5	1	732
83	37	0	3	11	15	8	40	96	48	1	8	4	0	3	1	1200
84	29	0	1	15	9	16	30	113	30	0	12	3	0	8	1	1694
85	36	0	5	10	15	10	55	106	38	1	14	4	1	3	1	686
86	32	0	2	13	9		40	104	37	1	8	1	0	5	1	754
87	33	0	1	10	14	12	35	80	39	1		2	0	15	1	857
88	30	0	2	13	4	8	50	104	30	1	12	1	0	2	1	832
89	30	0	1	13	8	16	44	122	36	1	16	4	0	1	0	579
90	34	0		12	13	13	61	96	38	1	12	2	0	3	1	672
91	36	0	1	15	12	16	40	95	51	1	16	3	0	9	1	2500
92	31	0	1	12	5	17	45	105	24	0	16	1	0	8	1	1076
