ALCOHOL	BREAD	COFFEE	DAIRY	EGGS	FISH	FOODTOT	FRUIT	HHSIZE	INC	MEAT	NONALCH	OIL	OTHFOOD	PUNDER5	SECSTUD	SUGAR	SUPSTUD	URBAN	VEGETABL
12.72	20.23	0.66	8.87	17.66	16.75	142.72	0.1	5	1250	39.97	3.98	12.41	6.97	20	0	0.47	0	1	1.93
26.84	15	0.18	6.59	13.76	13.87	156.08	4.15	2	985	52.21	4.04	4.29	6.28	0	0	0.75	0	0	8.12
17.66	18.41	0.02	11.46	3.03	42.67	300.58	94.01	1	2175	61.79	6.32	5.75	5.77	0	1	8.69	0	0	24.99
33.68	9.27	0.74	15.07	7.97	16.73	162.19	0.9	2	1025	53.61	5.64	4.77	5.11	50	0	1.17	0	1	7.53
35.76	17.43	0.7	15.6	17.01	32.8	214.35	1.34	3	1690	60.24	5.38	2.32	6.66	33	0	0.6	0	1	18.5
20.35	17.2	3.28	6.71	18.05	7.81	120.73	0.07	4	670	31.43	1.85	5.66	5.72	25	0	0.83	0	1	1.77
21.37	13.42	0.74	10.02	10.69	28.69	167.91	3.12	3	1600	50.64	5.71	5.69	7.81	0	1	2.95	0	1	7.06
14.74	16	1.41	7.41	13.55	15.18	132.03	0.28	4	940	42.5	3.64	7.66	6.07	25	0	0.56	0	1	3.03
7.22	17.43	0.22	11.52	8.92	28.25	188.46	17.14	2	1730	59.29	4.59	5.02	7	0	1	4.25	0	0	17.61
4.06	15.98	2.69	7.47	6.36	8.5	112.98	0.83	3	640	46.61	4.22	6.82	5.8	33	1	1.08	0	0	2.57
11.18	16.35	0.44	6.73	8.03	17.87	154.38	21.13	1	860	52.98	4.95	6.38	4.53	0	0	0.55	0	0	3.26
14.79	14.85	0.26	8.05	2.93	24.11	219.98	54.6	2	960	53.38	4.9	5.25	6.73	0	0	6.17	1	1	23.97
4.07	24	0.76	11.03	16.47	25.83	151.92	0.22	4	1575	48.74	2.74	7.66	7.44	25	0	0.52	0	0	2.44
12.18	24.69	4.56	10.11	15.95	15.51	136.08	0.54	5	1230	23.6	3.76	11.26	8.39	20	1	0.66	0	0	4.86
11.35	22.07	2.49	18.65	10.71	42.87	213.91	2.84	4	2190	65.17	4.98	8.68	8.23	25	0	3.15	1	1	12.72
40.7	16.1	0.25	10.3	6.56	33.06	216.72	1.51	2	1580	60.59	5.12	8.75	6.46	0	0	5.06	0	1	22.26
9.32	21.64	0.87	15.3	11.04	44.93	213.96	0.87	3	2300	70.69	5.56	8.17	8.18	0	0	2.64	1	0	14.75
21.42	19.16	1.03	13.75	11.66	32.99	198.65	1.66	3	1720	62.11	6.02	4.66	7.99	33	1	1.56	0	1	14.61
13.95	13	0.1	11.49	16.34	13.72	130	1.66	2	850	39.38	3.95	5.64	5.2	50	0	0.27	0	0	5.28
16.73	24.42	1.8	6.69	14.07	6.63	122.85	0.03	5	780	38.56	2.34	5.8	4.92	20	0	0.34	0	0	0.54
21.11	18.6	0.61	16.2	17.01	39.74	256.46	27.36	3	2100	70.37	6.11	9.48	7.43	0	0	4.49	1	0	17.95
5.47	25.19	4.32	10.39	14.31	24.53	154.05	0.3	5	1470	40.76	3.26	12.17	8.15	20	1	1.93	0	1	3.27
19.38	4.56	1.45	13.5	0.57	31.18	246.49	59.14	1	1225	70.39	7.54	1.87	6.33	0	0	6.59	1	1	23.99
20.87	13.93	0.07	8.5	0.4	26.15	255.11	82.04	1	1380	65.33	5.17	7.46	6.84	0	1	1.3	0	0	17.05
14.14	22.66	6.8	19.77	20.36	41.79	207.81	0.5	4	2450	50.9	4.57	11.73	6.51	25	1	2.02	0	0	6.05
13.81	20.94	4.01	9.69	13.21	14.91	133.24	0.43	4	910	40.49	2.67	3.12	7.93	50	0	0.37	0	0	1.66
12.96	18.83	1.3	7.9	14.98	7.32	110.98	0.24	3	690	33.91	3.87	3.5	4.17	33	0	0.2	0	0	1.79
18.47	16.95	0.02	10.15	12.93	27.34	171.82	0.55	3	1450	53.8	4.37	8.93	6.01	0	0	1.6	0	1	10.69
3.84	13.61	0.5	13.82	8.91	50.01	402.59	156.24	2	2275	67.89	6.13	7.47	10.18	0	0	14.07	1	0	49.92
7.63	19.06	0.76	13.74	10.81	36.35	176.99	3.98	3	1620	44.27	5.51	9.64	6.36	33	1	3.21	0	1	15.66
30.94	21.8	5.92	4.91	8.27	11.72	140.85	0.52	3	740	35.74	4.39	5.25	5.02	33	0	0.65	0	1	5.72
17.91	10.68	0.06	20.99	6.73	22.01	178.96	15.6	2	1125	42.87	4.47	4.74	6.19	0	1	5.67	0	1	21.05
20.99	16.76	0.85	20.06	15.82	25.32	163.88	0.62	4	1335	39.39	4.67	10.41	5.38	50	0	1.64	0	1	1.97
12.13	20.06	1.7	18.93	10.93	57.03	299.95	30.2	3	2875	68.74	6.32	9.09	7.8	0	0	4.43	1	0	52.59
24.48	10.38	0.4	13.19	7.62	34.22	203.87	13.15	2	1680	66.32	6.05	5.22	5.31	0	1	3.18	0	1	14.36
13.04	15.18	0.65	5.86	4.62	14.66	138.44	0.72	2	870	51.01	3.95	5.2	5.26	0	0	1.03	0	1	17.26
12.27	25.29	0.76	7.43	17.94	31.12	181.62	1.36	3	1620	63.44	4.32	7.96	6.74	0	0	0.35	0	0	2.65
20.38	19.39	0.62	7.15	13.19	14.99	124.97	0.21	3	960	30.28	4.63	5.94	7.11	33	0	0.09	0	0	0.98
5.52	18.84	9.74	9.1	15	20.63	152.64	1.8	4	1125	48.01	4.44	7.14	8.18	25	1	0.41	0	1	3.83
0.22	20.77	2.31	15.31	14.18	34.49	184.5	1.56	5	1875	53.94	4.72	11.02	8.31	20	0	6.8	1	1	10.88
