"OBS"	"AIRCO"	"BATHRMS"	"BEDROOMS"	"DRIVEWAY"	"FULLBASE"	"GARAGEPL"	"GASHW"	"LOTSIZE"	"PREFAREA"	"PRICE"	"RECROOM"	"STORIES"
"1"	0	1	3	1	1	1	0	5850	0	42000	0	2
"2"	0	1	2	1	0	0	0	4000	0	38500	0	1
"3"	0	1	3	1	0	0	0	3060	0	49500	0	1
"4"	0	1	3	1	0	0	0	6650	0	60500	1	2
"5"	0	1	2	1	0	0	0	6360	0	61000	0	1
"6"	1	1	3	1	1	0	0	4160	0	66000	1	1
"7"	0	2	3	1	1	2	0	3880	0	66000	0	2
"8"	0	1	3	1	0	0	0	4160	0	69000	0	3
"9"	0	1	3	1	1	0	0	4800	0	83800	1	1
"10"	1	2	3	1	0	1	0	5500	0	88500	1	4
"11"	1	2	3	1	1	3	0	7200	0	90000	0	1
"12"	0	1	2	0	0	0	0	3000	0	30500	0	1
"13"	0	1	3	1	0	0	0	1700	0	27000	0	2
"14"	0	1	3	0	0	0	0	2880	0	36000	0	1
"15"	0	1	2	1	0	0	0	3600	0	37000	0	1
"16"	1	1	2	1	0	0	0	3185	0	37900	0	1
"17"	0	1	3	0	0	1	0	3300	0	40500	0	2
"18"	0	1	4	1	0	0	0	5200	0	40750	0	3
"19"	0	1	1	1	0	0	0	3450	0	45000	0	1
"20"	0	2	2	0	1	1	0	3986	0	45000	1	1
"21"	1	1	3	1	1	1	0	4785	0	48500	1	2
"22"	0	2	4	1	1	0	0	4510	0	65900	0	2
"23"	1	1	3	1	0	0	0	4000	0	37900	0	2
"24"	0	1	2	1	0	0	0	3934	0	38000	0	1
"25"	0	1	2	1	0	0	0	4960	0	42000	0	1
"26"	0	1	2	1	0	0	0	3000	0	42300	0	2
"27"	0	1	2	1	0	0	0	3800	0	43500	0	1
"28"	1	1	2	1	1	0	0	4960	0	44000	0	1
"29"	1	1	3	0	0	0	0	3000	0	44500	0	1
"30"	1	1	3	1	0	0	0	4500	0	44900	0	2
"31"	0	1	2	0	1	0	0	3500	0	45000	0	1
"32"	1	1	4	1	0	2	0	3500	0	48000	0	2
"33"	0	1	2	1	0	0	0	4000	0	49000	0	1
"34"	0	1	2	1	0	0	0	4500	0	51500	0	1
"35"	0	1	2	1	0	0	0	6360	0	61000	0	2
"36"	1	1	2	1	0	2	0	4500	0	61000	0	1
"37"	0	1	2	1	1	0	0	4032	0	61700	0	1
"38"	1	1	3	1	0	0	0	5170	0	67000	0	4
"39"	1	2	4	1	0	2	0	5400	0	82000	0	2
"40"	0	2	2	0	1	0	0	3150	0	54500	0	1
"41"	0	1	3	1	1	0	0	3745	0	66500	0	2
"42"	1	1	3	1	1	0	0	4520	0	70000	0	2
"43"	0	1	4	1	0	1	0	4640	0	82000	0	2
"44"	0	3	5	1	0	2	0	8580	0	92000	0	2
"45"	0	1	2	1	0	0	0	2000	0	38000	0	2
"46"	0	1	3	0	1	0	0	2160	0	44000	0	2
"47"	0	1	2	0	0	0	0	3040	0	41000	0	1
"48"	0	1	3	0	0	0	0	3090	0	43000	0	2
"49"	0	1	4	0	0	0	0	4960	0	48000	0	3
"50"	0	1	3	1	0	0	0	3350	0	54800	0	2
"51"	0	2	5	1	0	0	0	5300	0	55000	0	2
"52"	0	1	4	0	1	0	0	4100	0	57000	0	1
"53"	1	1	2	1	1	2	0	9166	0	68000	0	1
"54"	0	1	3	1	1	1	1	4040	0	95000	0	2
"55"	0	3	3	0	0	0	0	3630	0	38000	1	2
"56"	0	1	2	1	0	0	0	3620	0	25000	0	1
"57"	0	1	3	0	0	0	0	2400	0	25245	0	1
"58"	0	2	3	1	1	3	0	7260	0	56000	1	1
"59"	0	1	3	1	0	0	0	4400	0	35500	0	2
"60"	0	1	3	1	0	0	0	2400	0	30000	0	2
"61"	0	1	2	1	0	0	0	4120	0	48000	0	2
"62"	0	1	2	1	0	0	0	4750	0	48000	0	1
"63"	1	1	2	1	0	2	0	4280	0	52000	0	1
"64"	0	1	3	1	0	0	0	4820	0	54000	0	2
"65"	0	1	4	1	1	0	0	5500	0	56000	1	2
"66"	1	1	3	1	0	0	0	5500	0	60000	0	2
"67"	1	1	3	1	1	0	0	5040	0	60000	0	2
"68"	1	1	2	1	1	1	0	6000	0	67000	0	1
"69"	1	1	2	0	0	0	0	2500	0	47000	0	1
"70"	1	1	3	0	1	0	0	4095	0	70000	1	2
"71"	0	1	2	1	0	2	0	4095	0	45000	0	1
"72"	0	1	3	1	1	0	0	3150	0	51000	0	2
"73"	0	1	2	0	1	0	0	1836	0	32500	0	1
"74"	0	1	3	1	0	0	0	2475	0	34000	0	2
"75"	0	1	3	1	1	0	0	3210	0	35000	0	2
"76"	0	1	3	0	0	0	0	3180	0	36000	0	1
"77"	0	1	3	0	1	0	0	1650	0	45000	0	2
"78"	1	1	4	1	1	0	0	3180	0	47000	0	2
"79"	0	2	2	1	1	2	0	3180	0	55000	0	1
"80"	1	1	2	1	1	1	0	6360	0	63900	0	1
"81"	1	1	3	1	0	0	0	4240	0	50000	0	2
"82"	0	1	2	0	0	1	0	3240	0	35000	1	1
"83"	0	1	3	1	0	0	0	3650	0	50000	0	2
