Rain    Flow    Temp   Chowilla Renmark
11.2	433.16	22.6644	344.595	345.633
7.0	472.22	18.3025	338.741	340.090
14.8	220.94	15.5045	339.518	350.910
36.0	107.32	12.9493	373.824	378.886
21.0	201.94	11.7633	361.618	380.460
19.8	217.25	12.8828	352.997	365.240
34.8	228.63	15.8016	370.160	374.329
42.4	264.79	17.3467	371.916	385.487
9.2	221.03	19.8089	413.717	421.406
2.8	220.08	21.7897	424.028	433.239
1.8	220.20	23.1835	454.001	458.650
0.8	197.18	23.1328	474.613	470.480
2.8	186.98	22.0313	485.032	331.244
6.7	131.46	19.7161	465.969	407.051
13.6	93.43	16.5663	424.011	432.374
20.9	89.91	12.6885	409.423	438.860
9.4	108.92	10.9034	394.687	414.982
7.8	123.97	12.5033	341.090	355.856
12.1	136.28	15.4193	357.879	372.199
4.6	171.60	17.9775	309.243	322.529
13.0	180.71	21.9909	219.905	256.521
8.0	218.62	23.5149	178.555	192.926
2.6	217.29	25.4935	184.011	196.519
23.5	193.79	25.0529	220.813	221.309
0.0	186.13	22.2829	223.381	218.153
8.9	134.68	19.2877	265.535	271.591
25.8	92.88	16.6850	256.799	263.602
29.8	71.90	13.3589	306.255	308.177
8.0	86.74	11.7496	304.453	311.189
44.9	136.09	11.9086	278.365	309.036
11.8	298.50	14.8966	185.953	199.195
19.8	208.33	17.6805	202.341	213.931
9.6	179.49	21.8121	212.286	221.308
29.0	224.43	25.1297	216.785	232.336
3.8	224.41	24.5225	204.070	213.772
2.6	201.04	24.9356	210.120	223.983
3.6	191.44	22.6481	247.813	239.999
0.4	134.97	19.8726	295.781	314.288
8.0	93.78	14.7185	262.363	273.288
46.2	89.66	12.8725	242.595	264.299
17.2	108.73	11.2465	254.085	294.195
37.8	123.91	12.8213	197.262	218.911
15.4	135.07	15.1992	186.544	191.152
1.2	170.51	20.2418	195.468	209.777
28.4	193.22	20.9891	183.581	193.730
49.0	219.37	24.2156	166.538	182.670
13.4	224.72	24.6007	182.538	192.894
4.6	197.29	23.3073	201.304	202.048
4.6	187.60	22.3016	192.331	192.723
4.8	135.17	20.4240	213.549	220.445
0.4	93.09	16.6705	238.272	238.947
64.0	90.51	13.1216	256.398	270.950
35.2	108.79	11.7397	237.403	261.102
22.8	124.03	13.2244	221.743	241.589
40.4	239.06	15.7923	178.404	198.498
66.0	300.05	18.8856	146.926	159.004
24.8	339.33	22.8025	142.675	151.689
10.4	277.75	24.1393	155.160	162.710
2.8	220.25	27.0815	199.144	202.148
7.2	198.63	24.6279	204.362	209.337
20.8	188.14	23.8153	206.402	219.142
34.4	134.28	18.4111	201.935	205.835
13.2	91.07	14.3615	215.750	213.795
5.2	89.92	10.9745	183.644	197.151
47.4	108.49	10.6737	184.892	192.422
3.0	124.12	12.9616	219.307	190.666
7.0	119.97	16.0898	185.767	202.910
0.0	153.46	19.5347	166.200	175.898
8.4	151.38	22.3693	171.852	180.265
8.6	179.30	24.1649	157.424	176.995
39.4	181.27	25.2368	141.612	164.910
7.0	194.00	25.7572	149.875	167.728
24.4	87.65	23.7960	172.932	183.139
41.8	53.96	20.5608	227.179	231.088
18.4	52.40	17.6999	247.505	299.970
6.8	30.19	11.8441	273.060	293.902
28.4	36.44	10.9012	279.154	310.244
2.2	38.35	13.1719	342.346	357.881
6.0	49.64	16.2736	322.202	350.555
11.8	79.56	19.1267	220.642	266.521
29.2	102.68	22.3909	196.540	208.332
