choc	beer	elec
1451	96.3	1497
2037	84.4	1463
2477	91.2	1648
2785	81.9	1595
2994	80.5	1777
2681	70.4	1824
3098	74.8	1994
2708	75.9	1835
2517	86.3	1787
2445	98.7	1699
2087	100.9	1633
1801	113.8	1645
1216	89.8	1597
2173	84.4	1577
2286	87.2	1709
3121	85.6	1756
3458	72	1936
3511	69.2	2052
3524	77.5	2105
2767	78.1	2016
2744	94.3	1914
2603	97.7	1925
2527	100.2	1824
1846	116.4	1765
1066	97.1	1721
2327	93	1752
3066	96	1914
3048	80.5	1857
3806	76.1	2159
4042	69.9	2195
3583	73.6	2287
3438	92.6	2276
2957	94.2	2096
2885	93.5	2055
2744	108.5	2004
1837	109.4	1924
1447	105.1	1851
2504	92.5	1839
3248	97.1	2019
3098	81.4	1937
4318	79.1	2270
3561	72.1	2251
3316	78.7	2382
3379	87.1	2364
2717	91.4	2129
2354	109.9	2110
2445	116.3	2072
1542	113	1980
1606	100	1995
2590	84.8	1932
3588	94.3	2171
3202	87.1	2162
4704	90.3	2489
4005	72.4	2424
3810	84.9	2641
3488	92.7	2630
2781	92.2	2324
2944	114.9	2412
2817	112.5	2284
1960	118.3	2186
1937	106	2184
2903	91.2	2144
3357	96.6	2379
3552	96.3	2383
4581	88.2	2717
3905	70.2	2774
4581	86.5	3051
4037	88.2	2891
3345	102.8	2613
3175	119.1	2600
2808	119.2	2493
2050	125.1	2410
1719	106.1	2390
3143	102.1	2463
3756	105.2	2616
4776	101	2734
4540	84.3	2970
4309	87.5	3125
4563	92.7	3342
3506	94.4	3207
3665	113	2964
3361	113.9	2919
3094	122.9	2764
2440	132.7	2732
1633	106.9	2622
2935	96.6	2698
4159	127.3	2950
4159	98.2	2895
4894	100.2	3200
4921	89.4	3408
4577	95.3	3679
4155	104.2	3473
3851	106.4	3154
3429	116.2	3107
3370	135.9	3052
2726	134	2918
1674	104.6	2786
3257	107.1	2739
4731	123.5	3125
4481	98.8	3033
5443	98.6	3486
5566	90.6	3661
5044	89.1	3927
4781	105.2	3851
4014	114	3456
3561	122.1	3390
3801	138	3280
