Contingency Table for CNTAB1 and CNTAB2
Accidental Deaths by Month and Type (1979)
Month:           jan  feb  mar  apr  may  jun  jul  aug  sep  oct  nov  dec

Motor Vehicle   3298 3304 4241 4291 4594 4710 4914 4942 4861 4914 4563 4892
Falls           1150 1034 1089 1126 1142 1100 1112 1099 1114 1079  999 1181
Drowning         180  190  370  530  800 1130 1320  990  580  320  250  212
Fires            874  768  630  516  385  324  277  272  271  381  533  760
Choking          299  264  258  247  273  269  251  269  271  279  297  266
Fire-arms        168  142  122  140  153  142  147  160  162  172  266  230
Poisons          298  277  346  263  253  239  268  228  240  260  252  241
Gas-poison       267  193  144  127   70   63   55   53   60  118  150  172
Other           1264 1234 1172 1220 1547 1339 1419 1453 1359 1308 1264 1246
