Table for use with chapter 13 routines
Average solar radiation (watts/sq.m.) for selected cities
Month:          jul aug sep oct nov dec jan feb mar apr may jun   ave   lat

Atlanta, GA     257 246 201 166  30 102 106 140 184 236 258 271   192  34.0
Barrow, AK      208 123  56  20   0   0   0  18  87 184 248 256   100  71.0
Bismark, ND     296 251 185 132  78  60  76 121 170 217 267 284   178  47.0
Boise, ID       324 275 221 152  88  60  69 113 164 235 284 309   191  43.5
Boston, MA      240 206 165 115  70  58  67  96 142 176 228 242   150  42.5
Caribou, ME     246 218 161 102  53  51  66 111 178 194 229 232   153  47.0
Cleveland, OH   267 239 182 127  68  56  60  87 151 182 253 271   162  41.5
Dodge City, KS  311 287 239 184 138 113 123 153 202 256 275 315   216  38.0
El Paso, TX     324 309 278 224 178 151 160 209 266 317 346 353   260  32.0
Fresno, CA      323 293 243 182 117  77  90 143 212 264 308 337   216  37.0
Greensboro, NC  263 235 197 156 118  95  97 134 171 227 257 273   185  36.0
Honolulu, HI    305 293 271 245 208 176 175 200 234 262 300 297   247  21.0
Little Rock, AR 270 250 214 167 118  91  96 127 173 220 256 272   188  35.0
Miami, FL       260 246 216 188 171 154 166 201 238 263 267 257   219  26.0
New York, NY    251 238 175 127  77  62  71 102 151 183 220 255   159  41.0
Omaha, NE       275 252 192 142  96  80  99 134 172 224 248 272   182  21.0
Rapid City, SD  288 262 208 152  99  76  90 135 193 235 259 287   190  44.0
Seattle, WA     242 209 150  84  44  29  34  60 118 174 216 228   132  47.5
Tucson, AZ      304 286 281 216 172 144 151 195 264 322 358 343   253  41.0
Washington, DC  267 190 196 145  75  64 101 124 153 182 215 247   163  39.0
