    11.33      23.81      25.07        6.5       3.09       3.37  
    25.92      75.83      23.82       9.33       2.85       8.29  
     7.03       9.46       7.59       8.66       7.03       9.15  
    29.68       5.71       8.07       1.32       7.77       9.68  
    21.81      85.78      24.01       5.99       1.27       4.92  
      .57        .37       3.14       6.16       9.36       1.31  
    11.25       8.82      15.05       4.93       6.18       8.71  
    19.01       8.99      12.37        4.3       9.18       7.04  
    75.25      37.65      18.32       1.95       4.71       7.17  
      8.4       8.43       8.03       5.28       5.27       4.88  
     30.3       16.1      13.48          4       8.28       9.22  
      1.2        .64       3.45       3.79       6.22       1.53  
     6.93       5.28       9.93       8.32        9.4       7.36  
    70.18       30.4       10.1       1.79       4.26       8.69  
    21.06      33.66       14.8       8.97       5.87       7.96  
    11.86      15.72      12.88       6.97       4.25       6.18  
    14.53       8.44       8.58        3.6       8.34       7.17  
     34.2       30.2      17.89       4.21       4.96       5.91  
     8.68       8.89      10.82       7.22       6.32       7.37  
     2.84       5.14       8.94       6.95       3.66       2.07  
