     6439        .66        .82        .79          1          0  
     3329        .62         .8        .59          1          0  
     3415        .62        .77        .63          0          0  
     2909        .62        .66        .81          0          0  
     2598        .63        .65        .81          0          0  
     3773        .69        .63         .8          0          0  
    20383        .63        .65        .78          0          1  
    11761        .65        .78         .8          1          0  
     2614        .77        .62        .77          1          0  
     2496        .81        .69        .68          1          0  
    20811        .68        .85         .7          0          1  
     8339        .71        .86         .8          1          0  
     2793        .84        .86         .8          1          0  
     2416        .82        .86        .82          0          0  
     2837        .84        .86        .81          0          0  
     2110        .82        .77        .83          0          0  
     6422        .78        .82        .81          1          0  
     4539        .81        .91        .85          1          0  
     2493        .89        .91        .82          0          0  
     2262        .85        .89        .76          0          0  
     2145        .85        .89        .77          0          0  
    11996        .71         .9        .84          0          1  
     5847        .78        .92        .83          1          0  
     2257        .85        .43        .84          1          0  
     2461        .87        .82        .83          0          0  
     2075        .86        .93        .84          1          0  
    14044        .77         .9        .82          0          1  
     4521         .8        .75        .78          0          0  
     2052        .85        .76         .8          0          0  
     1762        .85        .89        .78          0          0  
     2375        .87        .91        .78          0          0  
     3256        .88        .85        .88          0          0  
     3280        .83        .78         .9          0          0  
    27254        .69        .93        .87          0          1  
    14129        .69        .92         .9          1          0  
     2906         .9        .91        .87          1          0  
    17630        .69        .68        .69          0          1  
     9431        .73        .69        .73          1          0  
    32820        .61        .73        .87          0          1  
    12635        .67         .9        .89          1          0  
     2509        .89        .91        .69          1          0  
     2184        .89        .59        .71          1          0  
    12485         .7        .65        .87          0          1  
     6560        .75         .9        .69          1          0  
     2647        .92        .91        .74          1          0  
     2949        .91        .92        .89          1          0  
     3016        .91        .91         .9          1          0  
     2370        .91        .91        .59          0          0  
     2006        .91        .76        .62          0          0  
     2556         .9        .77        .86          0          0  
    13808        .69        .76        .88          0          1  
     6668        .82        .77        .86          1          0  
