"","surv","m","class","age","sex"
"1",20,23,"crew","adult","female"
"2",192,862,"crew","adult","male"
"3",1,1,"first","child","female"
"4",5,5,"first","child","male"
"5",140,144,"first","adult","female"
"6",57,175,"first","adult","male"
"7",13,13,"second","child","female"
"8",11,11,"second","child","male"
"9",80,93,"second","adult","female"
"10",14,168,"second","adult","male"
"11",14,31,"third","child","female"
"12",13,48,"third","child","male"
"13",76,165,"third","adult","female"
"14",75,462,"third","adult","male"
