"","year","fall","winter"
"1",1900,50.2,28.5
"2",1901,48.1,28.2
"3",1902,48.1,24.7
"4",1903,49.9,31.4
"5",1904,47.8,26.7
"6",1905,46.9,29.8
"7",1906,47.7,32.5
"8",1907,47.5,30.2
"9",1908,49.5,28.2
"10",1909,52.1,23.8
"11",1910,47.3,30.5
"12",1911,45,25.9
"13",1912,47.3,24.1
"14",1913,50.9,23.6
"15",1914,49,25.9
"16",1915,44.9,26.5
"17",1916,50.4,24.7
"18",1917,46.6,28.9
"19",1918,45.4,28.2
"20",1919,47.2,28
"21",1920,51.1,29.7
"22",1921,49.1,25.9
"23",1922,46.8,29.6
"24",1923,49.7,27.6
"25",1924,46.2,26.9
"26",1925,49.8,28.9
"27",1926,50.5,28.6
"28",1927,47.6,27.2
"29",1928,44.8,22.1
"30",1929,48.3,24.9
"31",1930,49.4,30.7
"32",1931,49,29.6
"33",1932,53.1,23.3
"34",1933,50.9,36.2
"35",1934,47.8,33.1
"36",1935,49,27
"37",1936,50.6,23.3
"38",1937,50.5,29.1
"39",1938,51.4,27
"40",1939,49.4,28.5
"41",1940,48.5,30.5
"42",1941,48.7,22.4
"43",1942,49.2,32.7
"44",1943,49.5,28.9
"45",1944,49.4,28.7
"46",1945,46.2,29.9
"47",1946,49.4,29.3
"48",1947,49.5,26.3
"49",1948,51.2,22
"50",1949,50.2,29.3
"51",1950,46.5,29.7
"52",1951,47.4,28.5
"53",1952,51.6,32.7
"54",1953,51.9,34.6
"55",1954,48.9,26.2
"56",1955,50.5,28
"57",1956,47.9,30.3
"58",1957,50.9,33.8
"59",1958,46.9,27.9
"60",1959,50.5,28.1
"61",1960,46.3,31.3
"62",1961,51.5,23.3
"63",1962,53.3,28.1
"64",1963,49.7,27.8
"65",1964,49.8,30.7
"66",1965,49.8,27.8
"67",1966,50.4,32
"68",1967,48.8,29.1
"69",1968,47,30.7
"70",1969,47.9,33
"71",1970,47.5,29.8
"72",1971,47.5,30.8
"73",1972,49,26.6
"74",1973,49.6,30.2
"75",1974,49.4,29.8
"76",1975,48.4,32.4
"77",1976,52,31.9
"78",1977,50.4,28.5
"79",1978,49.5,23.5
"80",1979,51.2,28
"81",1980,52.5,35.3
"82",1981,47.7,30.5
"83",1982,50.6,33.2
"84",1983,48.4,25.7
"85",1984,45.3,27.5
"86",1985,48.8,32.5
"87",1986,50.1,31.8
"88",1987,51.4,28.2
"89",1988,50.8,27.3
"90",1989,52.5,31.3
"91",1990,48.9,28.7
"92",1991,50,34.2
"93",1992,46.7,25.9
"94",1993,50.5,31.6
"95",1994,50.9,33.8
"96",1995,49.8,31.5
"97",1996,50.3,30.8
"98",1997,53.3,33.9
"99",1998,51.3,34.3
"100",1999,48.3,36.5
"101",2000,52.4,30.4
"102",2001,48.9,32
"103",2002,51.2,34.1
"104",2003,50.8,32.8
"105",2004,53.1,34.5
"106",2005,49.5,33.6
"107",2006,52.8,28.6
"108",2007,51.9,29.7
"109",2008,49.5,33.2
"110",2009,52.6,27.8
"111",2010,51.7,31.4
