"","age","y","sex","family.name","status"
"Breen_Edward_",13,"survived","Male","Breen","Family"
"Breen_Margaret_Isabella",1,"survived","Female","Breen","Family"
"Breen_James_Frederick",5,"survived","Male","Breen","Family"
"Breen_John",14,"survived","Male","Breen","Family"
"Breen_Margaret_Bulger",40,"survived","Female","Breen","Family"
"Breen_Patrick",51,"survived","Male","Breen","Family"
"Breen_Patrick_Jr.",9,"survived","Male","Breen","Family"
"Breen_Peter",3,"survived","Male","Breen","Family"
"Breen_Simon_Preston",8,"survived","Male","Breen","Family"
"Donner_Elitha_Cumi",13,"survived","Female","G_Donner","Family"
"Donner_Eliza_Poor",3,"survived","Female","G_Donner","Family"
"Donner_Elizabeth_Blue_Hook",45,"died","Female","J_Donner","Family"
"Donner_Frances_Eustis",6,"survived","Female","G_Donner","Family"
"Donner_George",61,"died","Male","G_Donner","Family"
"Donner_George_Jr.",9,"survived","Male","J_Donner","Family"
"Donner_Georgia_Ann",4,"survived","Female","G_Donner","Family"
"Donner_Isaac",5,"died","Male","J_Donner","Family"
"Donner_Jacob",56,"died","Male","J_Donner","Family"
"Donner_Leanna_Charity",11,"survived","Female","G_Donner","Family"
"Donner_Lewis",3,"died","Male","J_Donner","Family"
"Donner_Mary",7,"survived","Female","J_Donner","Family"
"Donner_Samuel",4,"died","Male","J_Donner","Family"
"Donner_Tamzene",44,"died","Female","G_Donner","Family"
"Eddy_Eleanor_Priscilla",25,"died","Female","Eddy","Family"
"Eddy_James",3,"died","Male","Eddy","Family"
"Eddy_Margaret",1,"died","Female","Eddy","Family"
"Eddy_William_Henry",28,"survived","Male","Eddy","Family"
"Elliott_Milford",28,"died","Male","Hired","Hired"
"Fosdick_Jay",23,"died","Male","Graves","Family"
"Fosdick_Sarah_Graves",21,"survived","Female","Graves","Family"
"Foster_Jeremiah_George",1,"died","Male","Murphy-Foster-Pike","Family"
"Foster_Sarah_Ann_Charlotte_Murphy",19,"survived","Female","Murphy-Foster-Pike","Family"
"Foster_William_McFadden",30,"survived","Male","Murphy-Foster-Pike","Family"
"Graves_Eleanor",14,"survived","Female","Graves","Family"
"Graves_Elizabeth_Cooper",45,"died","Female","Graves","Family"
"Graves_Elizabeth",1,"survived","Female","Graves","Family"
"Graves_Franklin_Ward",57,"died","Male","Graves","Family"
"Graves_Franklin_Ward_Jr.",5,"died","Male","Graves","Family"
"Graves_Jonathan",7,"survived","Male","Graves","Family"
"Graves_Lovina",12,"survived","Female","Graves","Family"
"Graves_Mary_Ann",19,"survived","Female","Graves","Family"
"Graves_Nancy",9,"survived","Female","Graves","Family"
"Graves_William_Cooper",17,"survived","Male","Graves","Family"
"Hardcoop_Mr",60,"died","Male","Hired","Hired"
"Herron_Walter",27,"survived","Male","Hired","Hired"
"Hook_Solomon_Elijah",14,"survived","Male","Hired","Hired"
"Hook_William",12,"died","Male","Hired","Hired"
"James_Noah",16,"survived","Male","Hired","Hired"
"Keseberg_Ada",3,"died","Female","Keseberg","Family"
"Keseberg_Elisabeth_Philippine_Zimmerman",23,"survived","Female","Keseberg","Family"
"Keseberg_Johann_Ludwig_Christian",32,"survived","Male","Keseberg","Family"
"Keseberg_Louis_Jr.",1,"died","Male","Keseberg","Family"
"Keyes_Sarah_Handley",70,"died","Female","Reed-Keyes","Family"
"Luis",NA,"died","Male","Hired","Hired"
"McCutchen_Amanda_Henderson",25,"survived","Female","McCutchen","Family"
"McCutchen_Harriet_",1,"died","Female","McCutchen","Family"
"McCutchen_William",30,"survived","Male","McCutchen","Family"
"Miller_Hiram_O.",30,"survived","Male","Hired","Hired"
"Murphy_John_Landrum",16,"died","Male","Murphy-Foster-Pike","Family"
"Murphy_Lemuel_B.",12,"died","Male","Murphy-Foster-Pike","Family"
"Murphy_Levinah_W._Jackson",36,"died","Female","Murphy-Foster-Pike","Family"
"Murphy_Meriam_Marjory",14,"survived","Female","Murphy-Foster-Pike","Family"
