"","TankTemp","GasTemp","TankPres","GasPres","Y"
"1",28,33,3,3.49,22
"2",24,48,2.78,3.22,27
"3",33,53,3.32,3.42,29
"4",29,52,3,3.28,29
"5",33,44,3.28,3.58,27
"6",31,36,3.1,3.26,24
"7",32,34,3.16,3.16,23
"8",34,35,3.22,3.22,23
"9",33,51,3.18,3.18,26
"10",33,50,3.12,3.02,19
"11",34,51,3.2,3.07,21
"12",37,51,3.39,3.08,22
"13",36,54,3.38,3.43,28
"14",34,54,3.17,3.4,27
"15",36,54,3.2,3.41,27
"16",39,57,3.37,3.49,28
"17",34,36,3,3,21
"18",35,35,3.03,3.03,21
"19",36,33,3.07,3,21
"20",34,35,2.9,2.95,20
"21",59,56,4.78,4.59,33
"22",59,57,4.78,4.64,33
"23",60,59,4.8,4.72,35
"24",60,60,4.72,4.72,34
"25",60,60,4.72,4.72,28
"26",60,60,4.72,4.72,31
"27",59,60,4.6,4.41,32
"28",57,60,4.32,4.32,28
"29",57,59,4.32,4.32,27
"30",60,60,4.53,4.53,34
"31",61,60,4.64,4.53,34
"32",62,60,4.74,4.53,33
"33",60,59,4.52,4.47,33
"34",60,60,4.52,4.47,33
"35",59,60,4.47,4.34,33
"36",60,59,4.45,4.45,33
"37",61,59,4.5,4.4,34
"38",59,58,4.36,4.23,35
"39",60,59,4.4,4.36,36
"40",60,60,4.4,4.36,36
"41",60,61,4.31,4.42,31
"42",60,62,4.31,4.42,34
"43",60,61,4.31,4.31,32
"44",59,60,4.19,4.27,31
"45",60,36,4.27,3.94,23
"46",59,36,4.2,3.8,24
"47",61,39,4.39,4.13,25
"48",62,38,4.41,3.49,24
"49",58,35,4.1,3.29,21
"50",61,57,4.32,4.21,33
"51",59,60,4.17,4.17,31
"52",60,60,4.19,4.19,31
"53",61,61,4.27,4.27,32
"54",62,61,4.39,4.39,32
"55",60,61,4.19,4.27,32
"56",60,61,4.19,4.19,32
"57",90,64,7.32,6.7,40
"58",92,64,7.6,6.58,38
"59",90,56,7.32,7.2,45
"60",90,60,7.32,7.2,46
"61",92,89,7.45,7.37,58
"62",92,92,7.45,7.45,58
"63",92,92,7.45,7.45,55
"64",92,92,7.45,7.45,54
"65",92,90,7.38,7.26,55
"66",91,92,7.26,7.26,52
"67",62,68,3.99,4.22,30
"68",62,62,3.99,3.99,29
"69",61,62,3.91,4.08,29
"70",61,62,3.91,3.99,28
"71",59,44,3.75,3.54,22
"72",59,42,3.75,3.45,22
"73",93,68,7.07,6.38,35
"74",92,66,6.93,6.25,32
"75",88,65,6.48,5.8,31
"76",91,69,6.7,5.92,32
"77",92,87,6.8,6.48,43
"78",91,89,6.7,6.6,45
"79",90,90,6.6,6.6,46
"80",61,62,4.1,4.2,30
"81",63,62,4.3,4.3,37
"82",60,61,4.02,4.2,31
"83",62,62,4.2,4.2,35
"84",60,61,4.02,4.1,37
"85",59,61,3.98,4.02,36
"86",60,61,4.02,4.11,38
"87",60,61,4.02,4.11,34
"88",59,61,3.98,4.11,35
"89",60,62,4.02,4.11,36
"90",60,62,4.02,3.98,33
"91",61,63,4.11,4.11,26
"92",59,62,3.98,4.2,29
"93",59,63,3.98,4.3,29
"94",61,62,4.11,4.2,28
"95",61,62,4.11,4.11,28
"96",59,62,3.98,4.02,27
"97",59,62,3.98,3.98,28
"98",62,62,4.2,4.2,30
"99",61,62,4.11,4.2,31
"100",60,61,4.02,4.02,29
"101",59,61,3.98,4.11,28
"102",60,61,4.02,4.02,29
"103",60,61,4.02,4.11,30
"104",60,61,4.02,4.02,33
"105",60,61,4.02,4.11,30
"106",61,61,4.11,4.11,28
"107",60,61,4.02,3.98,29
"108",60,62,4.02,4.02,29
"109",62,63,4.62,4.53,35
"110",60,62,4.48,4.62,34
"111",59,62,4.39,4.53,34
"112",40,35,2.98,2.8,22
"113",37,35,2.8,2.68,20
"114",37,35,2.73,2.64,19
"115",34,35,2.62,2.52,17
"116",35,35,2.59,2.62,19
"117",35,35,2.59,2.59,16
"118",37,37,2.73,2.59,22
"119",35,36,2.59,2.62,18
"120",34,35,2.62,2.52,19
"121",35,35,3.23,3.06,21
"122",35,35,3.23,3.12,22
"123",36,35,3.27,3.27,23
"124",37,35,3.26,3.12,22
"125",37,36,3.26,3.12,23
