"","degree","rank","sex","year","ysdeg","salary"
"1","Masters","Prof","Male",25,35,36350
"2","Masters","Prof","Male",13,22,35350
"3","Masters","Prof","Male",10,23,28200
"4","Masters","Prof","Female",7,27,26775
"5","PhD","Prof","Male",19,30,33696
"6","Masters","Prof","Male",16,21,28516
"7","PhD","Prof","Female",0,32,24900
"8","Masters","Prof","Male",16,18,31909
"9","PhD","Prof","Male",13,30,31850
"10","PhD","Prof","Male",13,31,32850
"11","Masters","Prof","Male",12,22,27025
"12","Masters","Assoc","Male",15,19,24750
"13","Masters","Prof","Male",9,17,28200
"14","PhD","Assoc","Male",9,27,23712
"15","Masters","Prof","Male",9,24,25748
"16","Masters","Prof","Male",7,15,29342
"17","Masters","Prof","Male",13,20,31114
"18","PhD","Assoc","Male",11,14,24742
"19","PhD","Assoc","Male",10,15,22906
"20","PhD","Prof","Male",6,21,24450
"21","PhD","Asst","Male",16,23,19175
"22","PhD","Assoc","Male",8,31,20525
"23","Masters","Prof","Male",7,13,27959
"24","Masters","Prof","Female",8,24,38045
"25","Masters","Assoc","Male",9,12,24832
"26","Masters","Prof","Male",5,18,25400
"27","Masters","Assoc","Male",11,14,24800
"28","Masters","Prof","Female",5,16,25500
"29","PhD","Assoc","Male",3,7,26182
"30","PhD","Assoc","Male",3,17,23725
"31","PhD","Asst","Female",10,15,21600
"32","PhD","Assoc","Male",11,31,23300
"33","PhD","Asst","Male",9,14,23713
"34","PhD","Assoc","Female",4,33,20690
"35","PhD","Assoc","Female",6,29,22450
"36","Masters","Assoc","Male",1,9,20850
"37","Masters","Asst","Female",8,14,18304
"38","Masters","Asst","Male",4,4,17095
"39","Masters","Asst","Male",4,5,16700
"40","Masters","Asst","Male",4,4,17600
"41","Masters","Asst","Male",3,4,18075
"42","PhD","Asst","Male",3,11,18000
"43","Masters","Assoc","Male",0,7,20999
"44","Masters","Asst","Female",3,3,17250
"45","Masters","Asst","Male",2,3,16500
"46","Masters","Asst","Male",2,1,16094
"47","Masters","Asst","Female",2,6,16150
"48","Masters","Asst","Female",2,2,15350
"49","Masters","Asst","Male",1,1,16244
"50","Masters","Asst","Female",1,1,16686
"51","Masters","Asst","Female",1,1,15000
"52","Masters","Asst","Female",0,2,20300
