"","JobClass","NW","NE","Score","MaxSalary"
"1","Account_clerk",52,68,258,1549
"2","Account_clerk_Intermediate",26,29,269,1712
"3","Account_clerk_Principal",10,13,321,2182
"4","Account_clerk_Senior",16,24,273,1982
"5","Accountant",1,12,352,2555
"6","Accountant_Chief",0,5,709,4060
"7","Accountant_Principal",0,4,505,3424
"8","Accountant_Senior",2,18,404,3031
"9","Accounting_and_Purchasing_Director",0,1,799,5183
"10","Administrative_Assistant",6,7,438,2555
"11","Administrative_Assistant_Principal",1,5,723,4060
"12","Administrative_Assistant_Senior",5,11,536,3424
"13","Administrative_Hearing_Officer",0,3,357,3620
"14","Administrative_Secretary",11,12,335,2182
"15","Administrative_Service_Manager",0,2,786,4476
"16","Administrative_Service_Supervisor",1,3,588,3424
"17","Admissions_Manager",0,2,634,2817
"18","Adult_Corrections_Program_Manager",1,3,637,3684
"19","Affirmative_Action_Programs_Director",1,1,728,4370
"20","Ambulance_Dispatcher",1,8,362,2055
"21","Ambulance_Emergency_Medical_Technician",0,10,364,2137
"22","Ambulance_Services_Supervisor1",1,1,672,3595
"23","Amubulance_Services_Manager_Associate",1,1,674,3341
"24","Ambulance_Services_Supervisor2",0,3,550,2818
"25","Ambulatory_and_Emergency_Service_Manager",1,1,619,3260
"26","Appraisal_Supervisor",0,1,667,3964
"27","Appraiser",0,4,391,2784
"28","Appraiser_Junior",1,5,371,2374
"29","Appraiser_Principal",0,4,535,3341
"30","Appraiser_Senior",0,2,412,3064
"31","Architect_Project_Manager",0,3,638,3684
"32","Architectual_and_Engineering_Supervisor",0,1,793,4818
"33","Architectual_Assistant",0,1,446,2684
"34","Assessment_Technician",1,2,198,1860
"35","Assessor_Assistant_County",0,1,611,4161
"36","Assessor_County",0,1,728,5208
"37","Attorney",12,77,611,4978
"38","Attorney_Associate",2,4,544,3662
"39","Attorney_Chief_Deputy_County",0,1,878,6043
"40","Attorney_County",0,1,906,6179
"41","Attorney_Principal",0,5,802,5665
"42","Attorney_Senior",3,24,745,5311
"43","Audiologist",0,1,506,2886
"44","Audio-Visual_Technician",0,4,235,1952
"45","Audio-Visual_Technician_Principal",0,1,465,2748
"46","Audio-Visual_Technician_Senior",0,1,330,2261
"47","Biometrician_Chief",0,1,588,4060
"48","Bio-Electronics_Manager",0,1,625,3031
"49","Bio-Electronics_Supervisor",0,1,541,2886
"50","Bio-Electronics_Technician",0,5,386,2748
"51","Budget_and_Finance_Director",0,1,832,5336
"52","Building_Maintenance_Supervisor",0,11,458,2684
"53","Business_Services_Officer",0,2,688,3867
"54","Business_Services_Officer_Assistant_",1,5,497,2618
"55","Buyer",0,4,415,2886
"56","Buyer_Principal",0,1,625,3684
"57","Buyer_Senior",0,2,511,3341
"58","Cardiac_Ultrasound_Technician",1,1,316,2154
"59","Cardiac_Ultrasound_Technician_Senior",1,1,391,2317
"60","Carpenter",0,2,347,2880
"61","Unknown1",48,59,309,2031
"62","Cashier_Clerk",4,5,182,1357
"63","Cashier_Clerk_Principal",1,1,236,1627
"64","Cashier_Clerk_Senior",11,11,211,1513
"65","Central_Services_Manager",0,1,615,3684
"66","Cemtral_Services_Supervisor",0,3,443,2317
"67","Chaplaincy_Services_Director",0,1,556,3508
"68","Chemical_Dependency_Councilor",11,17,319,1952
"69","Chemical_Dependency_Councilor_Principal",2,5,512,3181
"70","Chemical_Dependency_Councilor_Senior",8,19,334,2493
"71","Chemical_Health_Division_Manager",0,1,737,4533
"72","Clerical_Services_Manager",9,9,559,2317
"73","Cleriacal_Supervisor",4,5,313,1718
"74","Clerical_Supervisor_Principal",22,22,390,2096
"75","Clerical_Supervisor_Senior",48,49,365,1903
"76","Clerk1",46,65,82,1207
"77","Clerk_Stenographer",20,20,227,1493
"78","Clerk_Stenographer_Senior",26,26,257,1729
"79","Clerk_Typist",23,23,131,1252
"80","Clerk_Typist_Intermediate",290,307,184,1426
"81","Clerk_Typist_Senior",104,104,246,1647
"82","Clerk_Typist-Steno_Principal",25,25,272,1907
"83","Clerk_unknown",21,22,267,1647
"84","Clerk_Intermediate",76,102,171,1362
"85","Clerk_Police",27,29,289,1837
"86","Clerk_Principal",14,21,288,1907
"87","Clerk_Purchasing",6,7,318,1647
"88","Clerk_Senior",68,79,215,1569
"89","Clerk2",74,79,189,1427
"90","Clerk_County_Board_of_Commisioners",1,1,481,2916
"91","Clerk_Mail/Messenger",6,11,144,1362
"92","Clerk_Resources_specialist",2,5,381,2611
"93","Clinical_Sevices_Supervisor",3,6,400,2154
"94","Clinical_Services_Manager_Outpatient",1,1,435,2493
"95","Communical_Disease_Registrar",1,1,298,2051
"96","Communications_Manager",0,1,706,5059
"97","Communications_System_Specialist",0,2,604,3424
"98","Communications_Technician",0,8,455,2723
"99","Communications_Technician_Aide",0,2,277,1772
"100","Communication_Technician_Lead",0,1,461,3031
"101","Community_Health_Program_Supervisor",3,5,601,3424
"102","Community_Health_Supervisor",1,1,514,2684
"103","Community_Health_Worker_Senior",10,12,206,1607
"104","Community_Resources_Division_Manager",0,1,748,4533
"105","Community_Services_Director",0,1,826,6025
"106","Community_Services_Division_Manager",0,4,755,4533
"107","Community_Services_Program_Manager",1,11,589,4005
"108","Computer_Graphics_Aide",2,2,226,1729
"109","Computer_Graphics_Supervisor",0,1,568,2817
"110","Computer_Graphics_Technician",1,4,344,2103
"111","Computer_Graphics_Technician_Senior",0,1,485,2493
"112","Contract_Services_Manager",0,1,626,4060
"113","Contract_Services_Representative",4,11,409,2555
"114","Contract_Services_Supervisor",0,2,494,3424
"115","Cook",4,14,191,1644
"116","Cook_Senior",1,3,267,1751
"117","Coordinator_of_Volunteers",3,3,406,2724
"118","Coordinator_of_Volunteers_Senior",0,1,530,3151
"119","Correctional_Officer",16,60,338,2458
"120","Correctional_Officer_Supervisor",1,14,522,3181
"121","Correctional_Officer_Community",0,2,338,2444
"122","Correctional_Officer_Senior",3,19,378,2589
"123","County_Administrator",0,1,1017,6329
"124","County_Administrator_Associate",0,2,956,6880
"125","County_Administrator_Deputy",0,1,972,6880
"126","County_Commissioner",0,7,809,4544
"127","County_Commissioner_Principal-Assistant",2,7,556,2886
"128","County_Recorder",0,1,648,3964
"129","Court_Administrator_Manager",1,2,589,3424
"130","Court_Administrator_Manager_Senior",0,1,623,4060
"131","Court_Administrative_Specialist",11,15,268,2149
"132","Court_Administrator__Deputy",0,1,778,5080
"133","Court_Deputy",29,32,242,1604
"134","Court_Deputy_Principal",6,16,369,2370
"135","Court_Deputy_Senior",71,93,337,1950
"136","Court_Division_Supervisor",8,14,738,2748
"137","Court_Referee",5,17,635,4719
"138","Court_Reporter",1,1,303,3106
"139","Court_Services_Division_Supervisor",1,4,739,4476
"140","Court_Services_Supervisor",5,25,508,3716
"141","Custodial_Security_Worker",0,5,192,1775
"142","Custodial_Worker_Heavy",47,112,101,1549
"143","Custodial_Worker_Supervisor",2,9,339,1795
"144","Cytotechnologist",2,2,326,2051
"145","Delivery_Worker",2,4,149,1631
"146","Dental_Assistant",9,9,292,1459
"147","Dental_Hygenist",1,1,360,2001
"148","Dental_Hygenist_Senior",1,1,395,2207
"149","Dentist",0,1,611,4936
"150","Dentist_Senior",0,1,741,5441
"151","Dietitian",5,5,467,2374
"152","Driver",0,6,159,1879
"153","Duplications_Machine_Operator",1,1,161,1457
"154","Economic_Assistance_Director",1,1,808,5741
"155","Economic_Assistance_Division_Manager",0,5,744,4533
"156","Economic_Assistance_Program_Manager",2,8,594,4005
"157","Economic_Assistance_Special_Services_Supv",0,2,504,3633
