"","Age","Length"
"1",1,67
"2",1,62
"3",2,109
"4",2,83
"5",2,91
"6",2,88
"7",3,137
"8",3,131
"9",3,122
"10",3,122
"11",3,118
"12",3,115
"13",3,131
"14",3,143
"15",3,142
"16",2,123
"17",3,122
"18",4,138
"19",4,135
"20",4,146
"21",4,146
"22",4,145
"23",4,145
"24",4,144
"25",4,140
"26",4,150
"27",4,152
"28",4,157
"29",4,155
"30",4,153
"31",4,154
"32",4,158
"33",4,162
"34",4,161
"35",4,162
"36",4,165
"37",4,171
"38",5,171
"39",4,162
"40",4,169
"41",4,167
"42",5,188
"43",2,100
"44",2,109
"45",4,150
"46",3,140
"47",4,170
"48",3,150
"49",4,140
"50",4,140
"51",4,150
"52",4,150
"53",3,140
"54",3,150
"55",3,150
"56",4,150
"57",4,160
"58",3,140
"59",4,150
"60",5,170
"61",4,150
"62",5,150
"63",4,150
"64",4,150
"65",3,150
"66",5,150
"67",5,160
"68",4,140
"69",5,160
"70",3,130
"71",4,160
"72",3,130
"73",4,170
"74",6,170
"75",4,160
"76",5,180
"77",4,160
"78",4,170
