Concentration,Flow Rate,Counts
Low,Fast,10400
Low,Fast,10640
Low,Fast,9100
Low,Fast,9400
Low,Fast,10460
Low,Slow,10820
Low,Slow,10680
Low,Slow,10660
Low,Slow,12500
Low,Slow,10980
Medium,Fast,44460
Medium,Fast,43360
Medium,Fast,38240
Medium,Fast,35220
Medium,Fast,39160
Medium,Slow,41000
Medium,Slow,46340
Medium,Slow,48020
Medium,Slow,47580
Medium,Slow,47540
High,Fast,96560
High,Fast,107700
High,Fast,101080
High,Fast,101020
High,Fast,95280
High,Slow,118060
High,Slow,114070
High,Slow,105830
High,Slow,114000
High,Slow,118500
