-------------------------------------------------------- 
 
 ******* PRINTING ANALYSIS RESULTS ************

------------------------------------------------------ 
Nodal displacements 
Node      disp_x          disp_y 
 1,     1.45081e-02,     -6.49329e-02
 2,     3.28049e-04,     -6.52078e-02
 3,     -1.42385e-02,     -6.47141e-02
 4,     1.42332e-02,     -4.97317e-02
 5,     1.82950e-04,     -4.94530e-02
 6,     -1.38358e-02,     -4.94091e-02
 7,     1.29745e-02,     -3.50495e-02
 8,     1.37982e-04,     -3.46630e-02
 9,     -1.26721e-02,     -3.47556e-02
 10,     1.09224e-02,     -2.19922e-02
 11,     8.95233e-05,     -2.14870e-02
 12,     -1.07002e-02,     -2.16958e-02
 13,     8.08085e-03,     -1.13485e-02
 14,     2.56420e-05,     -1.07261e-02
 15,     -7.90991e-03,     -1.10480e-02
 16,     4.46383e-03,     -3.88383e-03
 17,     -6.63586e-05,     -3.19069e-03
 18,     -4.26507e-03,     -3.66370e-03
 19,     0.00000e+00,     0.00000e+00
 20,     0.00000e+00,     0.00000e+00
 21,     0.00000e+00,     0.00000e+00

------------------------------------------------------ 
                    Element stresses 
element    sigma_(xx)         sigma_(yy)         tau_(xy)
 1,      -7.8546e+00,       -7.8546e+00,       7.8546e+00
 2,      -1.3515e+00,       5.1683e+00,       1.3112e+01
 3,      6.6118e-02,       9.8937e+00,       9.1400e+00
 4,      9.1400e+00,       3.6192e+00,       9.8937e+00
 5,      -2.5827e+01,       -2.1744e+00,       4.8607e+00
 6,      1.5601e+00,       8.1980e+00,       1.5027e+01
 7,      -6.9913e-01,       6.6741e-01,       5.9323e+00
 8,      2.4966e+01,       5.6374e+00,       1.4180e+01
 9,      -4.2552e+01,       -5.0356e+00,       1.6983e+00
 10,      2.2662e+00,       1.0785e+01,       1.8024e+01
 11,      -1.6757e+00,       -2.3552e+00,       2.8152e+00
 12,      4.1961e+01,       8.4119e+00,       1.7462e+01
 13,      -5.9121e+01,       -7.6315e+00,       -1.4550e+00
 14,      2.6997e+00,       1.3258e+01,       2.0813e+01
 15,      -2.7809e+00,       -5.0108e+00,       -2.2163e-01
 16,      5.9202e+01,       1.1322e+01,       2.0864e+01
 17,      -7.5391e+01,       -1.0170e+01,       -4.5429e+00
 18,      2.5481e+00,       1.4627e+01,       2.3117e+01
 19,      -4.1445e+00,       -7.6816e+00,       -3.0783e+00
 20,      7.6988e+01,       1.3636e+01,       2.4504e+01
 21,      -9.3536e+01,       -1.4198e+01,       -4.9720e+00
 22,      1.4584e+00,       4.3753e-01,       2.4544e+01
 23,      -1.6603e+00,       -9.9582e+00,       -7.7540e+00
 24,      9.3738e+01,       2.8121e+01,       2.8182e+01
------------------------------------------------------ 
                     Element strains 
element    epsilon_(xx)       epsilon_(yy)         gamma_(xy)
 1,      -2.7491e-05,       -2.7491e-05,       1.0211e-04
 2,      -1.4510e-05,       2.7869e-05,       1.7045e-04
 3,      -1.4510e-05,       4.9369e-05,       1.1882e-04
 4,      4.0271e-05,       4.3858e-06,       1.2862e-04
 5,      -1.2587e-04,       2.7869e-05,       6.3189e-05
 6,      -4.4967e-06,       3.8650e-05,       1.9535e-04
 7,      -4.4967e-06,       4.3858e-06,       7.7120e-05
 8,      1.1637e-04,       -9.2623e-06,       1.8434e-04
 9,      -2.0521e-04,       3.8650e-05,       2.2078e-05
 10,      -4.8459e-06,       5.0524e-05,       2.3431e-04
 11,      -4.8459e-06,       -9.2623e-06,       3.6597e-05
 12,      1.9719e-04,       -2.0883e-05,       2.2701e-04
 13,      -2.8416e-04,       5.0524e-05,       -1.8915e-05
 14,      -6.3881e-06,       6.2239e-05,       2.7057e-04
 15,      -6.3881e-06,       -2.0883e-05,       -2.8812e-06
 16,      2.7903e-04,       -3.2191e-05,       2.7123e-04
 17,      -3.6170e-04,       6.2239e-05,       -5.9058e-05
 18,      -9.2001e-06,       6.9314e-05,       3.0052e-04
 19,      -9.2001e-06,       -3.2191e-05,       -4.0018e-05
 20,      3.6448e-04,       -4.7301e-05,       3.1856e-04
 21,      -4.4638e-04,       6.9314e-05,       -6.4636e-05
 22,      6.6359e-06,       0.0000e+00,       3.1907e-04
 23,      6.6359e-06,       -4.7301e-05,       -1.0080e-04
 24,      4.2651e-04,       0.0000e+00,       3.6637e-04
