21  1
1
100.0  0.0  0.01
0.0  0.5  1.0  1.5  2.0  2.5  3.0  3.5  4.0  4.5  5.0
5.5  6.0  6.5  7.0  7.5  8.0  8.5  9.0  9.5 10.0 10.5
0.0 -0.5
0.0025 400  0.25  0.5  1  42
44
 1 1 0   2 1 0   3 1 0   4 1 0   5 1 0
 6 1 0   7 1 0   8 1 0   9 1 0  10 1 0
11 1 0  12 1 0  13 1 0  14 1 0  15 1 0
16 1 0  17 1 0  18 1 0  19 1 0  20 1 0
21 1 0  22 1 0  23 1 0  24 1 0  25 1 0
26 1 0  27 1 0  28 1 0  29 1 0  30 1 0
31 1 0  32 1 0  33 1 0  34 1 0  35 1 0 
36 1 0  37 1 0  38 1 0  39 1 0  40 1 0
41 1 0  42 1 0  43 0 0  44 0 0    
'c' 'l' 'l' 'l' 'l' 'l' 'l' 'l' 'l' 'l'
'c' 'l' 'l' 'l' 'l' 'l' 'l' 'l' 'l' 'l' 'c'
