year,Annual Temp,CO2
1980,14.18,338.67
1981,14.26,339.84
1982,14.05,340.56
1983,14.26,342.21
1984,14.09,343.81
1985,14.05,345.3
1986,14.12,346.72
1987,14.26,348.44
1988,14.31,350.96
1989,14.2,352.59
1990,14.38,353.83
1991,14.35,355.18
1992,14.12,355.88
1993,14.14,356.6
1994,14.23,358.03
1995,14.38,359.85
1996,14.29,361.62
1997,14.4,362.76
1998,14.57,365.48
1999,14.32,367.56
2000,14.33,368.77
2001,14.48,370.36
2002,14.56,372.39
2003,14.55,374.94
2004,14.48,376.76
2005,14.62,378.78
2006,14.54,380.91
2007,14.56,382.71
2008,14.44,384.84
